2013,56,BEL,44,Wood and articles of wood; wood charcoal,2103910520
2013,60,BMU,44,Wood and articles of wood; wood charcoal,4367
2013,68,BOL,44,Wood and articles of wood; wood charcoal,60338049.59
2013,70,BIH,44,Wood and articles of wood; wood charcoal,382128287
2013,76,BRA,44,Wood and articles of wood; wood charcoal,2003440787
2013,84,BLZ,44,Wood and articles of wood; wood charcoal,3064771
2013,90,SLB,44,Wood and articles of wood; wood charcoal,253960351.9
2013,96,BRN,44,Wood and articles of wood; wood charcoal,1345299
2013,100,BGR,44,Wood and articles of wood; wood charcoal,364403201
2013,104,MMR,44,Wood and articles of wood; wood charcoal,685809215
2013,108,BDI,44,Wood and articles of wood; wood charcoal,11696
2013,112,BLR,44,Wood and articles of wood; wood charcoal,684923900
2013,116,KHM,44,Wood and articles of wood; wood charcoal,62925584
2013,120,CMR,44,Wood and articles of wood; wood charcoal,475615732
2013,72,BWA,44,Wood and articles of wood; wood charcoal,3340311.369
2013,52,BRB,44,Wood and articles of wood; wood charcoal,211770
2013,51,ARM,44,Wood and articles of wood; wood charcoal,674216
2013,50,BGD,44,Wood and articles of wood; wood charcoal,1926634
2013,48,BHR,44,Wood and articles of wood; wood charcoal,43399099
2013,44,BHS,44,Wood and articles of wood; wood charcoal,257965
2013,40,AUT,44,Wood and articles of wood; wood charcoal,4953833076
2013,36,AUS,44,Wood and articles of wood; wood charcoal,1014168934
2013,32,ARG,44,Wood and articles of wood; wood charcoal,197533057
2013,31,AZE,44,Wood and articles of wood; wood charcoal,1462485
2013,28,ATG,44,Wood and articles of wood; wood charcoal,178657
2013,24,AGO,44,Wood and articles of wood; wood charcoal,1336889
2013,20,AND,44,Wood and articles of wood; wood charcoal,1269283.182
2013,12,DZA,44,Wood and articles of wood; wood charcoal,43670
2013,8,ALB,44,Wood and articles of wood; wood charcoal,16847668
2013,124,CAN,44,Wood and articles of wood; wood charcoal,12337039133
2013,132,CPV,44,Wood and articles of wood; wood charcoal,1012.86
