year,country_code,country_code_letter,dollar_value,HDI_value
2013,533,ABW,1362.0,
2014,533,ABW,11244.0,
2016,533,ABW,620102.47,
2017,533,ABW,251573.735,
2018,533,ABW,315.642,
2019,533,ABW,731.285,
2020,533,ABW,563.128,
2021,533,ABW,32073.184,
2022,533,ABW,39857.541,
2023,533,ABW,11284.916,
2015,4,AFG,45161.0,0.479
2016,4,AFG,33894919.0,0.483
2017,4,AFG,1628894.78,0.485
2018,4,AFG,8968750.97,0.486
2019,4,AFG,8780682.05,0.492
2015,24,AGO,17154940.42,0.591
2016,24,AGO,728599.77,0.595
2017,24,AGO,17992.24,0.597
2018,24,AGO,375799.45,0.598
2019,24,AGO,2155134.101,0.597
2020,24,AGO,336305.786,0.594
2021,24,AGO,48701.778,0.59
2022,24,AGO,194006.533,0.591
2023,24,AGO,313757.848,
2013,8,ALB,96542.0,0.793
2014,8,ALB,33896.0,0.797
2015,8,ALB,57684.0,0.797
2016,8,ALB,253855.0,0.795
2017,8,ALB,214034.903,0.796
2018,8,ALB,82716.34,0.797
2019,8,ALB,345774.835,0.8
2020,8,ALB,196974.689,0.784
2021,8,ALB,57325.072,0.785
2022,8,ALB,2037348.462,0.789
2023,8,ALB,256605.466,
2016,20,AND,11.069,0.859
2013,784,ARE,219395589.2,0.847
2014,784,ARE,231891984.3,0.853
2015,784,ARE,517311568.9,0.86
2016,784,ARE,515424920.1,0.866
2017,784,ARE,336954791.9,0.898
2018,784,ARE,344061665.0,0.917
2019,784,ARE,167170888.2,0.933
2020,784,ARE,134968900.2,0.93
2021,784,ARE,140663976.0,0.931
2022,784,ARE,252644810.2,0.937
2023,784,ARE,140212808.7,
2013,32,ARG,8312032969.0,0.846
2014,32,ARG,5237135904.0,0.847
2015,32,ARG,4842054200.0,0.85
2016,32,ARG,6975858500.0,0.848
2017,32,ARG,6966154278.0,0.853
2018,32,ARG,7537978796.0,0.852
2019,32,ARG,9314415388.0,0.853
2020,32,ARG,8970133975.0,0.841
2021,32,ARG,12795446484.0,0.844
2022,32,ARG,15462254300.0,0.849
2023,32,ARG,8618150421.0,
2014,51,ARM,83872.0,0.764
2015,51,ARM,194578.0,0.769
2016,51,ARM,5849.0,0.773
2017,51,ARM,18536.22,0.775
2018,51,ARM,5348.15,0.781
2019,51,ARM,13039.78,0.789
2020,51,ARM,40053.76,0.769
2021,51,ARM,601415.35,0.774
2022,51,ARM,746263.87,0.786
2023,51,ARM,92882.8,
2016,28,ATG,3430.0,0.822
2017,28,ATG,123.955,0.824
2019,28,ATG,263.041,0.831
2020,28,ATG,240.741,0.82
2013,36,AUS,8047797639.0,0.929
2014,36,AUS,7427763727.0,0.931
2015,36,AUS,6427636896.0,0.933
2016,36,AUS,5097736255.0,0.936
2017,36,AUS,6548039774.0,0.937
2018,36,AUS,4813941893.0,0.941
2019,36,AUS,3405159335.0,0.941
2020,36,AUS,3751740937.0,0.948
2021,36,AUS,9825745282.0,0.949
2022,36,AUS,13499420170.0,0.946
2023,36,AUS,12863411422.0,
2013,40,AUT,512666793.0,0.907
2014,40,AUT,540749678.0,0.911
2015,40,AUT,409609075.0,0.91
