year,country_code,country_code_letter,dollar_value,HDI_value
2013,8,ALB,901120.0,0.793
2013,12,DZA,343778159.0,0.729
2013,20,AND,263.674,0.851
2013,31,AZE,10195044.0,0.745
2013,32,ARG,330171924.0,0.846
2013,36,AUS,5995514082.0,0.929
2013,40,AUT,987438326.0,0.907
2013,44,BHS,902478.0,0.804
2013,48,BHR,47960514.0,0.839
2013,50,BGD,12982267.0,0.577
2013,51,ARM,2355759.0,0.757
2013,56,BEL,3397702603.0,0.917
2013,68,BOL,63961095.26,0.681
2013,70,BIH,228872983.0,0.745
2013,76,BRA,2791605563.0,0.75
2013,96,BRN,1713359.0,0.835
2013,100,BGR,278248278.0,0.804
2013,104,MMR,791219.0,0.538
2013,108,BDI,17112.0,0.416
2013,112,BLR,28122100.0,0.806
2013,116,KHM,216.0,0.554
2013,120,CMR,18564762.0,0.544
2013,124,CAN,5100323067.0,0.923
2013,90,SLB,37.112,0.563
2013,72,BWA,36383574.79,0.676
2013,52,BRB,102935.0,0.793
2013,28,ATG,59367.0,0.812
2013,144,LKA,9731981.0,0.752
2013,152,CHL,1634493937.0,0.837
2013,156,CHN,13592888478.0,0.723
2013,170,COL,143524805.0,0.75
2013,178,COG,332201.0,0.6
2013,188,CRI,13579866.0,0.787
2013,191,HRV,21725027.0,0.839
2013,196,CYP,561071.418,0.863
2013,203,CZE,566455135.0,0.884
2013,204,BEN,38499.0,0.503
2013,208,DNK,156136245.0,0.933
2013,212,DMA,1099.999,0.72
2013,214,DOM,12816165.0,0.722
2013,218,ECU,5236379.0,0.755
2013,222,SLV,4911863.51,0.664
2013,231,ETH,95627.535,0.437
2013,233,EST,211377514.0,0.881
2013,242,FJI,539702.0,0.712
2013,246,FIN,731442053.0,0.926
2013,251,FRA,4422345951.0,0.888
2013,258,PYF,4239.0,
2013,266,GAB,853330.344,0.678
2013,268,GEO,33769934.0,0.784
2013,270,GMB,88898.615,0.461
2013,275,PSE,282086.0,0.704
2013,276,DEU,9450639063.0,0.938
2013,288,GHA,7409599.0,0.587
2013,300,GRC,168965151.0,0.874
2013,304,GRL,830.21,
2013,308,GRD,37.037,0.783
2013,320,GTM,25929790.0,0.623
2013,324,GIN,1142892.0,0.43
2013,328,GUY,46803.0,0.674
2013,344,HKG,626084527.0,0.928
2013,348,HUN,574250906.0,0.843
2013,352,ISL,3386801.0,0.942
2013,360,IDN,486710871.0,0.687
2013,364,IRN,506421518.9,0.78
2013,372,IRL,851261650.7,0.911
2013,376,ISR,1207422000.0,0.896
2013,380,ITA,2169554345.0,0.88
2013,384,CIV,9988364.32,0.48
2013,388,JAM,536472765.0,0.715
2013,392,JPN,3951039980.0,0.909
2013,398,KAZ,3129128949.0,0.789
2013,400,JOR,422509721.0,0.738
2013,404,KEN,128421957.0,0.562
2013,410,KOR,3099622046.0,0.902
2013,414,KWT,28370107.0,0.813
2013,417,KGZ,581162.0,0.68
2013,418,LAO,76665204.0,0.587
2013,422,LBN,20708004.0,0.756
2013,426,LSO,83.272,0.494
2013,428,LVA,8909616.0,0.846
2013,440,LTU,135034126.0,0.858
2013,442,LUX,2034779.0,0.922
2013,450,MDG,501143.457,0.494
2013,454,MWI,94048.061,0.484
2013,458,MYS,610748485.0,0.782
2013,470,MLT,2928659.0,0.874
2013,480,MUS,3509547.0,0.779
2013,484,MEX,968465050.0,0.761
2013,490,S19,1586239900.0,
2013,496,MNG,16352.0,0.73
2013,498,MDA,251646.0,0.726
2013,499,MNE,69258.0,0.819
2013,504,MAR,1448085540.0,0.636
2013,508,MOZ,2328001.0,0.432
2013,512,OMN,35900132.0,0.814
2013,516,NAM,8312228.0,0.61
2013,524,NPL,192823.0,0.563
2013,528,NLD,4482545668.0,0.929
2013,533,ABW,941568.0,
2013,540,NCL,101345589.0,
2013,554,NZL,16253788.67,0.93
2013,558,NIC,3900510.0,0.631
2013,562,NER,22665996.0,0.358
2013,566,NGA,16205441.0,0.504
2013,579,NOR,606692050.0,0.945
2013,586,PAK,33242596.0,0.51
2013,591,PAN,4222878.0,0.794
2013,600,PRY,11047893.0,0.729
2013,604,PER,300010549.5,0.749
2013,608,PHL,467834451.0,0.689
2013,616,POL,1000654153.0,0.865
2013,620,PRT,80184656.0,0.842
2013,634,QAT,638189351.5,0.852
2013,642,ROU,217568166.0,0.811
2013,643,RUS,8035055104.0,0.816
2013,646,RWA,119096.473,0.502
2013,662,LCA,7987.0,0.723
2013,682,SAU,1710021871.0,0.831
2013,686,SEN,170074007.0,0.497
2013,688,SRB,41829871.0,0.785
2013,690,SYC,10272.52,0.786
2013,699,IND,1466232078.0,0.6
2013,702,SGP,518173070.5,0.93
2013,703,SVK,212461104.3,0.849
2013,704,VNM,429744957.0,0.689
2013,705,SVN,133705661.0,0.901
2013,710,ZAF,908845832.6,0.705
2013,716,ZWE,1339409.39,0.532
2013,724,ESP,1480409134.0,0.88
2013,729,SDN,5864.0,0.503
