year,country_code,country_code_letter,dollar_value,HDI_value
2013,70,BIH,40304689,0.745
2013,76,BRA,35082512117,0.75
2013,96,BRN,75180,0.835
2013,100,BGR,741612810,0.804
2013,104,MMR,23759525,0.538
2013,112,BLR,3097500,0.806
2013,124,CAN,8432113295,0.923
2013,144,LKA,7142539,0.752
2013,152,CHL,19441467830,0.837
2013,156,CHN,378872619,0.723
2013,170,COL,12607492,0.75
2013,178,COG,493096,0.6
2013,188,CRI,123407,0.787
2013,191,HRV,10099748,0.839
2013,196,CYP,199217.7,0.863
2013,203,CZE,25395663,0.884
2013,208,DNK,15190350,0.933
2013,212,DMA,333.333,0.72
2013,214,DOM,100622492,0.722
2013,108,BDI,6528202,0.416
2013,90,SLB,519186.413,0.563
2013,72,BWA,128392567.3,0.676
2013,68,BOL,1924609309,0.681
2013,56,BEL,306734634.3,0.917
2013,52,BRB,4197,0.793
2013,51,ARM,303604933,0.757
2013,50,BGD,18157558,0.577
2013,48,BHR,612969078,0.839
2013,44,BHS,432,0.804
2013,40,AUT,41259100,0.907
2013,36,AUS,81015413674,0.929
2013,32,ARG,1361145137,0.846
2013,31,AZE,16982693,0.745
2013,20,AND,4111.474,0.851
2013,12,DZA,3142770,0.729
2013,8,ALB,142657352,0.793
2013,218,ECU,75162518,0.755
2013,222,SLV,1277366.34,0.664
2013,231,ETH,2015196.115,0.437
2013,233,EST,7678526,0.881
2013,242,FJI,9417931,0.712
2013,246,FIN,239836163,0.926
2013,251,FRA,382887874,0.888
2013,266,GAB,180645806.5,0.678
2013,268,GEO,164258445,0.784
2013,275,PSE,73314,0.704
2013,276,DEU,448015136.6,0.938
2013,288,GHA,176534323,0.587
2013,300,GRC,63819290,0.874
2013,320,GTM,511645168,0.623
2013,324,GIN,459219683,0.43
2013,328,GUY,133361485,0.674
2013,344,HKG,36647857,0.928
2013,348,HUN,9911325,0.843
2013,352,ISL,88098,0.942
2013,360,IDN,6544111736,0.687
2013,364,IRN,1748613857,0.78
2013,372,IRL,489645671.4,0.911
2013,376,ISR,3123000,0.896
2013,380,ITA,290079641,0.88
2013,384,CIV,20155497.43,0.48
