iso3,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022,hdi_f_1990,hdi_f_1991,hdi_f_1992,hdi_f_1993,hdi_f_1994,hdi_f_1995,hdi_f_1996,hdi_f_1997,hdi_f_1998,hdi_f_1999,hdi_f_2000,hdi_f_2001,hdi_f_2002,hdi_f_2003,hdi_f_2004,hdi_f_2005,hdi_f_2006,hdi_f_2007,hdi_f_2008,hdi_f_2009,hdi_f_2010,hdi_f_2011,hdi_f_2012,hdi_f_2013,hdi_f_2014,hdi_f_2015,hdi_f_2016,hdi_f_2017,hdi_f_2018,hdi_f_2019,hdi_f_2020,hdi_f_2021,hdi_f_2022,hdi_m_1990,hdi_m_1991,hdi_m_1992,hdi_m_1993,hdi_m_1994,hdi_m_1995,hdi_m_1996,hdi_m_1997,hdi_m_1998,hdi_m_1999,hdi_m_2000,hdi_m_2001,hdi_m_2002,hdi_m_2003,hdi_m_2004,hdi_m_2005,hdi_m_2006,hdi_m_2007,hdi_m_2008,hdi_m_2009,hdi_m_2010,hdi_m_2011,hdi_m_2012,hdi_m_2013,hdi_m_2014,hdi_m_2015,hdi_m_2016,hdi_m_2017,hdi_m_2018,hdi_m_2019,hdi_m_2020,hdi_m_2021,hdi_m_2022
AFG,0.284,0.292,0.299,0.307,0.3,0.318,0.326,0.33,0.329,0.337,0.34,0.344,0.368,0.379,0.395,0.402,0.41,0.426,0.431,0.441,0.449,0.457,0.467,0.475,0.48,0.479,0.483,0.485,0.486,0.492,0.488,0.473,0.462,,,,,,,,,,,,,,,,,,,0.340360843,0.348458579,0.353351379,0.352785973,0.342364541,0.364560992,0.363616351,0.375291451,0.378101771,0.382081775,0.383898464,0.38715745,0.38137318,0.379129485,0.332443297,,,,,,,,,,,,,,,,,,,0.499147946,0.508534863,0.516778949,0.525878534,0.539764799,0.54690261,0.553143443,0.550073678,0.552369866,0.548852368,0.547874087,0.553457617,0.548740892,0.528559011,0.534144723
ALB,0.649,0.632,0.616,0.618,0.623,0.632,0.644,0.641,0.656,0.668,0.678,0.687,0.692,0.701,0.707,0.72,0.728,0.74,0.747,0.752,0.766,0.779,0.789,0.793,0.797,0.797,0.795,0.796,0.797,0.8,0.784,0.785,0.789,0.625742114,0.608457114,0.59728406,0.594260981,0.59668619,0.601993901,0.6119104,0.608134801,0.622069881,0.635590758,0.648879927,0.659129982,0.667308576,0.669226341,0.676898493,0.690346737,0.69998739,0.71005158,0.726796716,0.732210799,0.747593133,0.761439309,0.775625025,0.777537888,0.778898256,0.783992594,0.782060023,0.782182429,0.785035347,0.78842781,0.775403713,0.777866227,0.780277105,0.668086526,0.651701222,0.631528488,0.635891208,0.643525063,0.656156762,0.668033,0.665154437,0.681186341,0.693494392,0.701471809,0.709424364,0.713647158,0.725801131,0.730722673,0.742740271,0.751080855,0.763287954,0.764881797,0.769965588,0.782251769,0.79454838,0.801310126,0.807282685,0.813209384,0.809247006,0.807899492,0.809305976,0.80911826,0.810817838,0.793219864,0.792941754,0.798432468
DZA,0.593,0.596,0.601,0.602,0.603,0.607,0.618,0.626,0.635,0.644,0.652,0.659,0.668,0.675,0.683,0.69,0.696,0.701,0.709,0.716,0.721,0.725,0.726,0.729,0.732,0.736,0.738,0.738,0.74,0.742,0.73,0.74,0.745,,,,,,,,,,,0.540670079,0.551396748,0.562903958,0.574402318,0.595913122,0.594379949,0.601805169,0.610907055,0.619580194,0.6292783,0.638791977,0.644962651,0.652431634,0.656102219,0.657754727,0.665773206,0.670511896,0.671933641,0.673421135,0.676862242,0.666723869,0.677675003,0.681844236,,,,,,,,,,,0.69668307,0.703069218,0.713371295,0.721222623,0.727802499,0.734374723,0.738475538,0.742533102,0.74988906,0.756320089,0.760735802,0.763234982,0.76262494,0.764462942,0.767159515,0.770077321,0.771857292,0.770989583,0.771200597,0.771786764,0.758643255,0.768169354,0.773800103
AND,,,,,,,,,,,0.815,0.823,0.828,0.836,0.828,0.828,0.842,0.851,0.857,0.859,0.863,0.867,0.867,0.851,0.854,0.856,0.859,0.86,0.863,0.865,0.843,0.855,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,0.369,0.38,0.39,0.406,0.424,0.437,0.451,0.463,0.48,0.492,0.506,0.516,0.533,0.545,0.555,0.565,0.591,0.595,0.597,0.598,0.597,0.594,0.59,0.591,,,,,,,,,,,,,,,0.398112008,0.411161058,0.423284001,0.439546481,0.450568209,0.4662874,0.480939459,0.482539351,0.499331458,0.512414047,0.52536585,0.552342007,0.562286406,0.564906117,0.566721264,0.561023508,0.564139616,0.557096361,0.560890287,,,,,,,,,,,,,,,0.473847303,0.489207881,0.501045139,0.518053078,0.530314073,0.543599577,0.549782153,0.577976176,0.588100382,0.595647625,0.603355344,0.629748224,0.630075249,0.630612752,0.628470094,0.631406585,0.622442299,0.620342003,0.619679764
ATG,,,,,,,,,,,,,,,,,,0.816,0.816,0.81,0.808,0.805,0.811,0.812,0.815,0.818,0.822,0.824,0.828,0.831,0.82,0.819,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,0.724,0.731,0.736,0.74,0.746,0.747,0.752,0.758,0.764,0.774,0.78,0.785,0.785,0.793,0.798,0.802,0.814,0.817,0.825,0.827,0.834,0.842,0.844,0.846,0.847,0.85,0.848,0.853,0.852,0.853,0.841,0.844,0.849,0.707609009,0.715119516,0.721058616,0.729215072,0.731724797,0.731454238,0.740636768,0.748403429,0.755103815,0.767023737,0.772934837,0.778690928,0.780268353,0.789283381,0.793318286,0.797734266,0.811190142,0.812938859,0.822527263,0.824214098,0.830595208,0.833737041,0.838603876,0.839871877,0.839098654,0.841618228,0.837248557,0.841661809,0.84267074,0.843581654,0.832788419,0.832734391,0.841405452,0.730877332,0.737120735,0.740932698,0.743570987,0.750811924,0.751366905,0.755676368,0.759151639,0.764839552,0.77438548,0.780525464,0.784923606,0.784019736,0.791769824,0.79754487,0.800046329,0.810389235,0.81428427,0.82127804,0.823828265,0.83122965,0.839211491,0.838348322,0.8410415,0.842200686,0.843561951,0.842634792,0.846455196,0.84454992,0.844949318,0.833979413,0.841562592,0.845472815
ARM,0.658,0.646,0.611,0.613,0.617,0.623,0.627,0.635,0.647,0.651,0.656,0.661,0.67,0.681,0.689,0.701,0.714,0.73,0.733,0.732,0.739,0.743,0.751,0.757,0.764,0.769,0.773,0.775,0.781,0.789,0.769,0.774,0.786,,,,,,0.6113174,0.620096219,0.620598153,0.635927539,0.640756955,0.631195893,0.632650666,0.640929226,0.650317769,0.666300459,0.682282506,0.696506645,0.719575683,0.716998113,0.718422072,0.726588768,0.730824728,0.739828125,0.745508648,0.755302185,0.759541743,0.763081247,0.76707715,0.775674162,0.785722485,0.769557919,0.776964338,0.795110468,,,,,,0.626146535,0.633792362,0.645331878,0.648709335,0.651768688,0.668592004,0.674773252,0.684293598,0.694522073,0.699383228,0.709397404,0.722133357,0.735162074,0.74065444,0.738756764,0.743905788,0.748756207,0.755558227,0.761730282,0.766279236,0.771524311,0.775607504,0.776795564,0.780279398,0.786866811,0.765450692,0.76863294,0.774941834
AUS,0.864,0.866,0.868,0.873,0.873,0.882,0.884,0.887,0.891,0.894,0.896,0.9,0.902,0.906,0.908,0.911,0.914,0.916,0.92,0.922,0.924,0.927,0.931,0.929,0.931,0.933,0.936,0.937,0.941,0.941,0.948,0.949,0.946,0.844964885,0.84724097,0.849456091,0.854111993,0.854929557,0.864017846,0.866419863,0.869175562,0.873734111,0.876481971,0.878752522,0.877068592,0.879455241,0.883669377,0.885411024,0.888919475,0.893031934,0.894881988,0.898426413,0.901544656,0.903856077,0.908022635,0.909539772,0.908316591,0.910020592,0.913572359,0.917079017,0.919359674,0.924958443,0.924707337,0.930064914,0.931899711,0.934601518,0.877993379,0.880170215,0.882547011,0.887206698,0.887299696,0.896185023,0.897516469,0.901077842,0.90420602,0.906933256,0.909065676,0.915992816,0.917702586,0.921690892,0.924780472,0.927327032,0.929325059,0.931063391,0.934803782,0.93621233,0.938489635,0.940784087,0.946311712,0.944487931,0.947427959,0.948118675,0.949895167,0.951435962,0.953702707,0.953356386,0.961623306,0.960858597,0.955940587
AUT,0.823,0.826,0.832,0.836,0.841,0.847,0.852,0.856,0.861,0.865,0.87,0.874,0.878,0.88,0.886,0.889,0.893,0.896,0.899,0.898,0.903,0.907,0.909,0.907,0.911,0.91,0.913,0.914,0.917,0.92,0.916,0.92,0.926,0.793767754,0.79838864,0.804425866,0.809447057,0.816960778,0.823432208,0.828282854,0.833549234,0.839758758,0.843267398,0.848729238,0.853976173,0.858395215,0.860112718,0.863813257,0.868563385,0.873180088,0.873799346,0.875113877,0.876439826,0.887785496,0.890985598,0.892654103,0.888958882,0.893880128,0.891647322,0.895498181,0.896325802,0.898546257,0.903286908,0.902151972,0.908226054,0.911591936,0.844992831,0.847315627,0.852536756,0.855934651,0.860445636,0.864970154,0.870061075,0.873233534,0.877683709,0.881659141,0.886210794,0.889797827,0.893369314,0.896108891,0.901591605,0.904069194,0.908406866,0.911730448,0.914807038,0.912700383,0.914775278,0.918038913,0.91990353,0.921220921,0.92505495,0.92462469,0.925518515,0.927672022,0.930220941,0.93217111,0.926511719,0.929696551,0.937756448
AZE,,,,,,0.6,0.603,0.609,0.618,0.628,0.635,0.644,0.654,0.663,0.67,0.682,0.701,0.714,0.723,0.729,0.733,0.735,0.739,0.745,0.749,0.751,0.752,0.754,0.757,0.762,0.722,0.738,0.76,,,,,,0.58091519,0.584309841,0.593416041,0.603213563,0.611612957,0.620954261,0.629693465,0.638854831,0.648130773,0.655638228,0.667902485,0.688118331,0.688094059,0.701579533,0.710758854,0.713141692,0.712911035,0.713942306,0.71978321,0.728742521,0.730951623,0.729830719,0.730944701,0.735066637,0.740912477,0.712016501,0.726160775,0.743349756,,,,,,0.614698217,0.618029007,0.621900558,0.631766163,0.643234664,0.648316306,0.656811321,0.666776702,0.675539873,0.683157699,0.694075908,0.712617465,0.732185751,0.739573604,0.743148913,0.748412478,0.751041139,0.755409235,0.761196976,0.762586981,0.764722863,0.765530912,0.769450634,0.772444187,0.776722013,0.72963501,0.746644707,0.773371293
BHS,0.76,0.757,0.762,0.762,0.765,0.773,0.778,0.775,0.776,0.784,0.788,0.79,0.792,0.793,0.795,0.798,0.8,0.8,0.801,0.798,0.8,0.8,0.803,0.804,0.807,0.807,0.809,0.812,0.814,0.802,0.798,0.799,0.82,0.756490397,0.757869046,0.758622795,0.758854073,0.761701896,0.771787016,0.776325176,0.774328187,0.775368771,0.781820231,0.786186865,0.789005701,0.791532091,0.793201902,0.793781503,0.797636716,0.80202151,0.798716451,0.799392914,0.798341529,0.801963824,0.801690679,0.804265342,0.804093417,0.807896721,0.808055454,0.811232703,0.814565635,0.816209713,0.800194309,0.80056505,0.801515851,0.822293357,0.761712138,0.753743919,0.762517304,0.762324535,0.76529313,0.771965448,0.777248058,0.773384317,0.773598982,0.782698628,0.786260211,0.787410793,0.790012492,0.79080798,0.793049524,0.796174876,0.796636665,0.799693594,0.799476817,0.796484788,0.79695314,0.797547931,0.800908469,0.801979353,0.804387325,0.804515436,0.80654051,0.808838513,0.810611451,0.802866107,0.795706016,0.796632119,0.816891253
BHR,0.733,0.727,0.727,0.732,0.732,0.737,0.742,0.747,0.753,0.761,0.775,0.786,0.792,0.799,0.795,0.791,0.794,0.8,0.803,0.803,0.807,0.812,0.827,0.839,0.839,0.859,0.862,0.867,0.88,0.888,0.884,0.884,0.888,0.695620931,0.690610307,0.693200857,0.696611455,0.696028635,0.688961675,0.695183505,0.700531347,0.720433178,0.723827132,0.73998999,0.747687966,0.757276685,0.768507395,0.774661575,0.774948093,0.78233381,0.787406423,0.792273062,0.767689848,0.775176959,0.777704342,0.795890965,0.806031091,0.805952592,0.818515209,0.822488354,0.824863033,0.836430963,0.868575096,0.8636048,0.84256302,0.847333815,0.753959687,0.746660241,0.744530094,0.748848332,0.748250099,0.755922247,0.760776804,0.764906284,0.768861739,0.777616638,0.791488653,0.804072033,0.807868869,0.813589119,0.805247599,0.799263219,0.801420382,0.806360342,0.808827326,0.814531388,0.818418884,0.824407766,0.837833225,0.849651187,0.851651681,0.876575619,0.878874981,0.883753147,0.898659407,0.901044143,0.897164112,0.901353194,0.90429854
BGD,0.399,0.397,0.416,0.423,0.431,0.44,0.446,0.458,0.473,0.487,0.491,0.498,0.505,0.511,0.518,0.525,0.53,0.533,0.535,0.547,0.558,0.565,0.575,0.577,0.585,0.604,0.613,0.622,0.636,0.646,0.657,0.662,0.67,0.33569756,0.336512092,0.35864795,0.366410427,0.375965349,0.385924025,0.391361606,0.407682672,0.424448773,0.4389862,0.446196079,0.447788299,0.446187059,0.437534786,0.447631025,0.459201008,0.464897711,0.472649819,0.480050674,0.491579215,0.508269817,0.51568152,0.528056168,0.541656968,0.541240547,0.558652254,0.573335544,0.586502214,0.594480221,0.60849742,0.619430608,0.624948823,0.63460476,0.452075571,0.448144726,0.464401832,0.470494895,0.476885853,0.48456947,0.490272506,0.499228766,0.512398396,0.525823156,0.52743549,0.535522442,0.543608894,0.551326486,0.557586598,0.562559412,0.567924818,0.569759057,0.570098493,0.583361787,0.592574953,0.599785316,0.607488588,0.602792539,0.613602354,0.632939871,0.640095715,0.648295023,0.66451341,0.670612215,0.68291174,0.68795021,0.694222638
BRB,0.728,0.729,0.729,0.733,0.738,0.742,0.746,0.75,0.751,0.753,0.76,0.761,0.765,0.769,0.774,0.779,0.784,0.789,0.792,0.794,0.792,0.79,0.793,0.793,0.795,0.798,0.801,0.803,0.804,0.806,0.803,0.803,0.809,0.715277174,0.71791361,0.719140617,0.724108495,0.732088496,0.737701853,0.742046766,0.742775573,0.744076081,0.747450358,0.75538091,0.755836435,0.759624511,0.765090443,0.769551121,0.775454035,0.781169861,0.787288557,0.791817523,0.794601891,0.792262525,0.791013641,0.794092268,0.796051394,0.799284732,0.803190726,0.812032031,0.809424136,0.81094031,0.813295469,0.808905971,0.80903694,0.815370599,0.737223766,0.737616474,0.735967368,0.738884909,0.741231264,0.743923866,0.748046921,0.752263357,0.75262031,0.75549492,0.760888164,0.762330916,0.764701959,0.767425111,0.770926456,0.77496818,0.778673275,0.783275844,0.784974524,0.785453671,0.783659566,0.780912956,0.783587825,0.783164351,0.783583622,0.78542826,0.784109168,0.789675827,0.790217602,0.790911723,0.786365511,0.786891193,0.791955966
BLR,,,,,,0.674,0.681,0.687,0.693,0.698,0.708,0.713,0.718,0.728,0.74,0.749,0.761,0.772,0.782,0.784,0.79,0.798,0.805,0.806,0.81,0.809,0.809,0.811,0.812,0.81,0.8,0.801,0.801,,,,,,0.681805334,0.694661062,0.69863339,0.700901653,0.702386968,0.713678411,0.719490513,0.726457768,0.737166454,0.749298649,0.760598114,0.772150416,0.782839214,0.791943863,0.789881807,0.800303628,0.805861539,0.811397531,0.810594434,0.813393259,0.810856935,0.811319974,0.811044639,0.809345525,0.809294609,0.803506582,0.802012319,0.801134982,,,,,,0.666453992,0.667716776,0.677362455,0.68539911,0.692287134,0.699794439,0.704557487,0.708204021,0.717852149,0.729858444,0.737177353,0.748948657,0.761752896,0.771810147,0.7775078,0.779583001,0.788260543,0.797338569,0.799669331,0.803843318,0.803901942,0.803973684,0.808075399,0.810020719,0.806782843,0.795407223,0.797846125,0.798781621
BEL,0.814,0.818,0.835,0.849,0.857,0.864,0.87,0.874,0.876,0.879,0.884,0.889,0.891,0.893,0.899,0.901,0.904,0.907,0.909,0.91,0.913,0.914,0.915,0.917,0.922,0.924,0.927,0.931,0.933,0.936,0.93,0.938,0.942,0.791868097,0.797369167,0.815269468,0.831296037,0.839250666,0.847396866,0.854131946,0.858091317,0.860728269,0.865919068,0.869314543,0.870939744,0.873327574,0.875253888,0.881064695,0.883643226,0.886872924,0.887702016,0.889684282,0.891445994,0.895570441,0.896834776,0.898229468,0.899519936,0.905089725,0.907356431,0.911208364,0.914932136,0.917283276,0.921535246,0.916491033,0.926128726,0.928892167,0.830028363,0.833568781,0.848690671,0.861863834,0.869986756,0.876099036,0.88147232,0.884804525,0.886290523,0.887850212,0.891795978,0.899606538,0.902889977,0.907099152,0.911272045,0.914937244,0.917862077,0.922081142,0.923157827,0.924265782,0.926232688,0.928450441,0.929055734,0.930770674,0.934931976,0.937478865,0.939822349,0.943952422,0.945769747,0.948585021,0.941164776,0.9480966,0.9522897
BLZ,0.609,0.616,0.624,0.63,0.634,0.636,0.639,0.641,0.642,0.65,0.657,0.661,0.67,0.679,0.685,0.682,0.697,0.704,0.709,0.715,0.72,0.719,0.722,0.721,0.716,0.714,0.72,0.716,0.715,0.718,0.705,0.698,0.7,,,,0.59619481,0.600929077,0.60233063,0.603530344,0.609715238,0.613460824,0.62023801,0.627230233,0.632679924,0.639986483,0.652530428,0.658037655,0.656165156,0.671746353,0.681924164,0.688005307,0.69558173,0.703435521,0.703251617,0.707816395,0.699977591,0.70528622,0.704831181,0.711376766,0.70762032,0.707762548,0.716160454,0.700176172,0.700386696,0.691356814,,,,0.65066924,0.653631311,0.655916166,0.658577357,0.659889606,0.660241426,0.667315778,0.674696372,0.67745413,0.686641771,0.694727491,0.702780592,0.700073902,0.713116367,0.717779661,0.721814025,0.727357971,0.730657374,0.729147652,0.732548695,0.734581857,0.724159222,0.721604579,0.726887149,0.72124542,0.720519442,0.718978165,0.707172148,0.69602505,0.704094307
BEN,0.35,0.355,0.36,0.367,0.372,0.379,0.385,0.393,0.398,0.405,0.412,0.423,0.431,0.438,0.444,0.45,0.456,0.464,0.47,0.475,0.481,0.486,0.494,0.503,0.506,0.509,0.508,0.505,0.506,0.506,0.501,0.502,0.504,,,,,,0.318644068,0.330346005,0.338031943,0.346520018,0.35473934,0.362236677,0.37270235,0.377189122,0.385860909,0.393136779,0.40063067,0.408263056,0.415762228,0.423735378,0.429224699,0.439659641,0.444434269,0.449069494,0.458861031,0.461353198,0.465721075,0.46578499,0.463501099,0.45850619,0.463140455,0.45789616,0.459314012,0.461636484,,,,,,0.436275126,0.43614719,0.443693341,0.447100578,0.451813138,0.458036927,0.469598165,0.480604787,0.484972132,0.490980726,0.4954856,0.501598248,0.508820457,0.514615366,0.518864675,0.520720423,0.52668228,0.537539382,0.545819788,0.548949367,0.5504824,0.548664797,0.545832054,0.549807991,0.547251914,0.542139059,0.542774951,0.544450366
BTN,,,,,,,,,,,,,,,,,,,,,0.582,0.591,0.597,0.604,0.615,0.625,0.635,0.644,0.655,0.668,0.675,0.677,0.681,,,,,,,,,,,,,,,,,,,,,0.567313517,0.577281806,0.587717777,0.589459466,0.598990473,0.610435337,0.612775436,0.621941653,0.640541833,0.658414591,0.667532599,0.671331251,0.669679955,,,,,,,,,,,,,,,,,,,,,0.59830063,0.60589621,0.608542093,0.619401665,0.629721294,0.639033879,0.65344711,0.662242007,0.667544789,0.676023588,0.681308525,0.682830492,0.690410405
