year,country_code,country_code_letter,dollar_value,HDI_value
2013,68,BOL,6682831619.0,0.681
2013,70,BIH,647748578.0,0.745
2013,76,BRA,22399714464.0,0.75
2013,84,BLZ,80730428.0,0.721
2013,96,BRN,11049379376.0,0.835
2013,100,BGR,4348054495.0,0.804
2013,104,MMR,3844600692.0,0.538
2013,108,BDI,1244.0,0.416
2013,112,BLR,12043523500.0,0.806
2013,116,KHM,60509.0,0.554
2013,120,CMR,2528672919.0,0.544
2013,124,CAN,120000000000.0,0.923
2013,140,CAF,45144.0,0.352
2013,144,LKA,31660787.0,0.752
2013,152,CHL,1064411111.0,0.837
2013,156,CHN,33799247525.0,0.723
2013,170,COL,39278441079.0,0.75
2013,174,COM,5.319,0.546
2013,178,COG,7913999358.0,0.6
2013,188,CRI,4157328.0,0.787
2013,191,HRV,1782717289.0,0.839
2013,196,CYP,326907729.8,0.863
2013,203,CZE,4778168648.0,0.884
2013,204,BEN,37216671.0,0.503
2013,208,DNK,10481943107.0,0.933
2013,212,DMA,2552.097,0.72
2013,214,DOM,156388232.0,0.722
2013,90,SLB,36389.876,0.563
2013,72,BWA,52985416.9,0.676
2013,56,BEL,42376037992.0,0.917
2013,52,BRB,152534835.0,0.793
2013,51,ARM,88417903.0,0.757
2013,50,BGD,278620262.0,0.577
2013,48,BHR,10177285696.0,0.839
2013,44,BHS,237808279.0,0.804
2013,40,AUT,4510667265.0,0.907
2013,36,AUS,65221537187.0,0.929
2013,32,ARG,3557637407.0,0.846
2013,31,AZE,22229818717.0,0.745
2013,28,ATG,4137522.0,0.812
2013,24,AGO,66505388303.0,0.555
2013,20,AND,124991.527,0.851
2013,12,DZA,64902417480.0,0.729
2013,8,ALB,723431623.0,0.793
2013,218,ECU,14106351786.0,0.755
2013,222,SLV,128555342.0,0.664
2013,231,ETH,29242.874,0.437
2013,233,EST,1885366477.0,0.881
2013,242,FJI,323791539.0,0.712
2013,246,FIN,9094244879.0,0.926
2013,251,FRA,22238999706.0,0.888
2013,258,PYF,27549.0,
2013,266,GAB,8576912870.0,0.678
2013,268,GEO,70631209.0,0.784
2013,270,GMB,2346897.538,0.461
2013,275,PSE,2166474.0,0.704
2013,276,DEU,36403369058.0,0.938
2013,288,GHA,3128661526.0,0.587
2013,296,KIR,2166588.0,0.602
2013,300,GRC,14460955868.0,0.874
2013,304,GRL,336.33,
2013,308,GRD,427021.054,0.783
2013,320,GTM,463529795.0,0.623
2013,324,GIN,11943947.0,0.43
2013,328,GUY,19649.0,0.674
2013,344,HKG,959102493.0,0.928
2013,348,HUN,3901346560.0,0.843
2013,352,ISL,79904189.0,0.942
2013,360,IDN,57413344503.0,0.687
2013,364,IRN,66082540676.0,0.78
2013,368,IRQ,89559590953.0,0.648
2013,372,IRL,1092709932.0,0.911
2013,376,ISR,1055061000.0,0.896
2013,380,ITA,23151524035.0,0.88
2013,384,CIV,2894882174.0,0.48
2013,388,JAM,354619135.0,0.715
2013,392,JPN,16682632469.0,0.909
2013,398,KAZ,64621311133.0,0.789
2013,400,JOR,24054167.0,0.738
2013,404,KEN,218377556.0,0.562
2013,410,KOR,54112787284.0,0.902
2013,414,KWT,108000000000.0,0.813
2013,417,KGZ,166668058.0,0.68
2013,418,LAO,18423625.0,0.587
2013,422,LBN,336909601.0,0.756
2013,426,LSO,387371.53,0.494
2013,428,LVA,1077311598.0,0.846
2013,440,LTU,7516065338.0,0.858
2013,442,LUX,125836654.0,0.922
2013,446,MAC,285277.023,
2013,450,MDG,72220181.75,0.494
2013,454,MWI,738751.956,0.484
2013,458,MYS,50869713459.0,0.782
2013,462,MDV,77098.0,0.715
2013,470,MLT,2209631609.0,0.874
2013,478,MRT,62609402.0,0.53
2013,480,MUS,948864.0,0.779
2013,484,MEX,48679871755.0,0.761
2013,490,S19,23023487703.0,
2013,496,MNG,1650007216.0,0.73
2013,498,MDA,26886325.0,0.726
2013,499,MNE,143410934.0,0.819
2013,500,MSR,2222.0,
2013,504,MAR,1585428356.0,0.636
2013,508,MOZ,1346468766.0,0.432
2013,512,OMN,41484779772.0,0.814
2013,516,NAM,70655942.0,0.61
2013,524,NPL,27392.0,0.563
2013,528,NLD,114000000000.0,0.929
2013,533,ABW,5678.0,
2013,540,NCL,174121.0,
2013,554,NZL,1417945143.0,0.93
2013,558,NIC,21038091.0,0.631
2013,562,NER,403840974.0,0.358
2013,566,NGA,79354194181.0,0.504
2013,579,NOR,105000000000.0,0.945
2013,586,PAK,526781352.0,0.51
2013,591,PAN,4744315.0,0.794
2013,600,PRY,2266401426.0,0.729
2013,604,PER,7006404224.0,0.749
2013,608,PHL,2135756694.0,0.689
2013,616,POL,9589456654.0,0.865
2013,620,PRT,6537122602.0,0.842
2013,634,QAT,120000000000.0,0.852
2013,642,ROU,3451712020.0,0.811
2013,643,RUS,372000000000.0,0.816
2013,646,RWA,72595204.36,0.502
2013,659,KNA,200.0,0.819
2013,662,LCA,32788715.0,0.723
2013,670,VCT,39158.75,0.766
2013,682,SAU,322000000000.0,0.831
2013,686,SEN,439198853.0,0.497
2013,688,SRB,704943005.0,0.785
2013,690,SYC,411584686.2,0.786
2013,699,IND,69571280728.0,0.6
2013,702,SGP,71404702691.0,0.93
2013,703,SVK,4684448989.0,0.849
2013,704,VNM,9685332539.0,0.689
2013,705,SVN,1900969793.0,0.901
2013,710,ZAF,10160082544.0,0.705
2013,716,ZWE,59981326.2,0.532
2013,724,ESP,21708048538.0,0.88
2013,729,SDN,1304616087.0,0.503
2013,740,SUR,184962771.0,0.7
2013,748,SWZ,25991134.26,0.546
2013,752,SWE,13146515705.0,0.932
2013,757,CHE,3648011905.0,0.947
2013,764,THA,14316678502.0,0.754
2013,768,TGO,117674685.4,0.495
2013,776,TON,3044521.0,0.719
2013,780,TTO,11115199930.0,0.801
2013,784,ARE,131000000000.0,0.847
2013,788,TUN,2595958855.0,0.719
2013,792,TUR,10117703534.0,0.802
2013,800,UGA,153805824.0,0.511
2013,804,UKR,2865374605.0,0.774
2013,807,MKD,106432505.0,0.763
2013,818,EGY,7558206449.0,0.684
2013,826,GBR,62365065840.0,0.923
2013,834,TZA,100094620.0,0.504
2013,842,USA,149000000000.0,0.922
2013,854,BFA,115719478.9,0.399
2013,858,URY,44600015.0,0.802
2013,862,VEN,85918587943.0,0.771
2013,882,WSM,15125038.0,0.704
2013,887,YEM,6448326711.0,0.496
2013,894,ZMB,198901553.6,0.554
2014,8,ALB,615911412.0,0.797
2014,12,DZA,58713994470.0,0.732
2014,20,AND,108301.474,0.854
2014,24,AGO,57336235615.0,0.565
2014,28,ATG,1023813.0,0.815
2014,31,AZE,20177193437.0,0.749
2014,32,ARG,3201007632.0,0.847
2014,36,AUS,63956234017.0,0.931
2014,40,AUT,4087431660.0,0.911
2014,44,BHS,165336142.0,0.807
2014,48,BHR,14978842951.0,0.839
2014,51,ARM,90339328.0,0.764
2014,52,BRB,144282507.0,0.795
2014,56,BEL,36442085713.0,0.922
2014,68,BOL,6674734041.0,0.683
2014,70,BIH,565999718.0,0.751
2014,72,BWA,60223901.93,0.683
2014,76,BRA,25200772274.0,0.753
2014,84,BLZ,58438223.0,0.716
2014,90,SLB,3379.994,0.562
2014,96,BRN,9724860834.0,0.834
2014,100,BGR,3705473467.0,0.807
2014,104,MMR,4603801567.0,0.548
2014,108,BDI,725956.0,0.419
2014,112,BLR,12084114300.0,0.81
2014,116,KHM,22.0,0.559
2014,120,CMR,2906084090.0,0.553
2014,124,CAN,129000000000.0,0.925
2014,144,LKA,295428782.0,0.757
2014,152,CHL,962970942.4,0.841
2014,156,CHN,34451695358.0,0.732
2014,170,COL,35938303854.0,0.755
2014,174,COM,413146.347,0.551
2014,178,COG,4004719790.0,0.609
2014,188,CRI,3349195.0,0.79
2014,191,HRV,1873692024.0,0.842
2014,196,CYP,311192797.1,0.867
2014,203,CZE,4620516734.0,0.889
2014,204,BEN,105955843.0,0.506
2014,208,DNK,8137644791.0,0.932
2014,214,DOM,565794180.9,0.728
2014,218,ECU,13276056340.0,0.759
2014,222,SLV,136984993.6,0.663
2014,231,ETH,1016985.458,0.445
2014,233,EST,1943736734.0,0.879
2014,242,FJI,353843987.0,0.715
2014,246,FIN,8006648611.0,0.928
2014,251,FRA,21985881378.0,0.892
2014,258,PYF,11990.0,
2014,266,GAB,7979129249.0,0.687
2014,268,GEO,76999313.32,0.793
2014,270,GMB,866613.635,0.462
2014,275,PSE,2198302.0,0.698
2014,276,DEU,35393106544.0,0.942
2014,288,GHA,4611352414.0,0.582
2014,296,KIR,841368.351,0.612
2014,300,GRC,13747868489.0,0.879
2014,304,GRL,177.19,
2014,308,GRD,67739.192,0.783
2014,320,GTM,712535662.0,0.64
2014,324,GIN,10419015.0,0.436
2014,328,GUY,5136.0,0.682
2014,340,HND,1182818.0,0.603
2014,344,HKG,854193807.0,0.932
2014,348,HUN,3778600516.0,0.84
2014,352,ISL,100693178.0,0.946
2014,360,IDN,51133125282.0,0.69
2014,364,IRN,61254453513.0,0.783
2014,368,IRQ,84409749142.0,0.651
2014,372,IRL,1124800339.0,0.918
2014,376,ISR,788596000.0,0.899
2014,380,ITA,19713356285.0,0.882
2014,384,CIV,2643769973.0,0.499
2014,388,JAM,301794787.7,0.714
2014,392,JPN,15824800763.0,0.91
2014,398,KAZ,60700570856.0,0.794
2014,400,JOR,16220209.0,0.737
2014,410,KOR,52670786682.0,0.906
2014,414,KWT,94526599084.0,0.816
2014,417,KGZ,129332935.0,0.686
2014,418,LAO,1083497.0,0.597
2014,422,LBN,32300619.0,0.755
2014,426,LSO,387780.773,0.5
2014,428,LVA,1223591887.0,0.85
2014,440,LTU,5694064313.0,0.864
2014,442,LUX,117069062.0,0.927
2014,446,MAC,118702.099,
2014,450,MDG,83819113.02,0.497
2014,454,MWI,577268.826,0.493
2014,458,MYS,51731061381.0,0.787
2014,462,MDV,67608.0,0.723
2014,470,MLT,2139524271.0,0.881
2014,478,MRT,59652368.0,0.532
2014,480,MUS,1565060.0,0.788
2014,484,MEX,41572869307.0,0.765
2014,490,S19,20024137555.0,
2014,496,MNG,1496100716.0,0.735
2014,498,MDA,16077716.0,0.749
2014,499,MNE,64072609.0,0.822
2014,500,MSR,28.0,
2014,504,MAR,1206310644.0,0.645
2014,508,MOZ,1419376639.0,0.438
2014,512,OMN,38554950637.0,0.818
2014,516,NAM,87120364.0,0.619
2014,524,NPL,39433.0,0.567
2014,528,NLD,97371907838.0,0.931
2014,533,ABW,283007.0,
2014,540,NCL,33236.0,
2014,554,NZL,1315738972.0,0.931
2014,558,NIC,19055044.0,0.638
2014,562,NER,283747336.0,0.363
2014,566,NGA,93469613422.0,0.513
2014,579,NOR,93821084064.0,0.949
2014,586,PAK,647584008.0,0.519
2014,591,PAN,2493525.0,0.797
2014,600,PRY,2186152671.0,0.731
2014,604,PER,4753931136.0,0.754
2014,608,PHL,1837492714.0,0.693
2014,616,POL,8878974680.0,0.867
2014,620,PRT,5337823105.0,0.847
2014,634,QAT,114000000000.0,0.85
2014,642,ROU,4202710260.0,0.811
2014,643,RUS,346000000000.0,0.818
2014,646,RWA,100789546.5,0.507
2014,659,KNA,19214.0,0.827
2014,662,LCA,30362243.0,0.727
2014,670,VCT,10095.175,0.772
2014,682,SAU,285000000000.0,0.836
2014,686,SEN,460980436.0,0.501
2014,688,SRB,553509336.0,0.787
2014,690,SYC,570395264.8,0.796
2014,694,SLE,35881.0,0.447
2014,699,IND,62348538851.0,0.611
2014,702,SGP,68689443625.0,0.932
2014,703,SVK,3863489917.0,0.851
2014,704,VNM,9238543741.0,0.693
2014,705,SVN,1873166413.0,0.903
2014,710,ZAF,9403444000.0,0.714
2014,716,ZWE,46368924.88,0.539
2014,724,ESP,23477053651.0,0.884
2014,729,SDN,3111972466.0,0.511
2014,740,SUR,200454545.0,0.701
2014,748,SWZ,19263230.19,0.56
2014,752,SWE,13309328656.0,0.935
2014,757,CHE,3467975734.0,0.951
2014,764,THA,11984929878.0,0.785
2014,768,TGO,85977176.14,0.502
2014,776,TON,2928009.0,0.721
2014,780,TTO,8089395205.0,0.806
2014,784,ARE,103000000000.0,0.853
2014,788,TUN,2210636020.0,0.721
2014,792,TUR,7500274360.0,0.812
2014,800,UGA,184032783.0,0.518
2014,804,UKR,2012699152.0,0.774
2014,807,MKD,87099638.0,0.769
2014,818,EGY,6270329201.0,0.688
2014,826,GBR,55018454636.0,0.924
2014,834,TZA,95735656.0,0.506
2014,842,USA,156000000000.0,0.923
2014,854,BFA,138369650.4,0.403
2014,858,URY,101855801.0,0.805
2014,882,WSM,17096902.0,0.707
2014,887,YEM,1349097490.0,0.485
2014,894,ZMB,106544149.1,0.557
2015,4,AFG,19716077.0,0.479
2015,8,ALB,358687181.0,0.797
2015,12,DZA,33348366636.0,0.736
2015,20,AND,39820.479,0.856
2015,24,AGO,31894838589.0,0.591
2015,28,ATG,287452.0,0.818
2015,31,AZE,11187136857.0,0.751
2015,32,ARG,1441981808.0,0.85
2015,36,AUS,47494438898.0,0.933
2015,40,AUT,2863862006.0,0.91
2015,44,BHS,70349936.0,0.807
2015,48,BHR,5169749300.0,0.859
2015,50,BGD,178120909.0,0.604
2015,51,ARM,92391607.0,0.769
2015,52,BRB,90188705.0,0.798
2015,56,BEL,22285678861.0,0.924
2015,60,BMU,4110.0,
2015,68,BOL,4032677715.0,0.688
2015,70,BIH,357575265.0,0.757
2015,72,BWA,30444003.89,0.688
2015,76,BRA,16545581390.0,0.752
2015,84,BLZ,26905481.0,0.714
2015,90,SLB,7314.0,0.562
2015,96,BRN,5906673424.0,0.832
2015,100,BGR,2737981010.0,0.809
2015,104,MMR,4837482288.0,0.557
2015,108,BDI,437789.0,0.42
2015,112,BLR,7768494200.0,0.809
2015,116,KHM,2513.0,0.564
2015,120,CMR,1839322625.0,0.562
2015,124,CAN,77586292497.0,0.927
2015,140,CAF,10934.0,0.367
2015,144,LKA,184506789.0,0.76
2015,152,CHL,560255223.9,0.846
2015,156,CHN,27903739800.0,0.741
2015,170,COL,18860907695.0,0.758
2015,174,COM,9.141,0.556
2015,178,COG,2695400414.0,0.61
2015,180,COD,1591454.968,0.457
2015,188,CRI,3666143.0,0.792
2015,191,HRV,1400629851.0,0.844
2015,196,CYP,428665178.4,0.874
2015,203,CZE,4622781950.0,0.891
2015,204,BEN,22710871.05,0.509
2015,208,DNK,5287175286.0,0.936
2015,214,DOM,413704184.9,0.739
2015,218,ECU,6661969067.0,0.764
2015,222,SLV,108282919.6,0.663
2015,231,ETH,18.032,0.455
2015,233,EST,1538710004.0,0.883
2015,242,FJI,203719532.5,0.716
2015,246,FIN,4036484679.0,0.93
2015,251,FRA,14599804497.0,0.893
2015,258,PYF,6509.0,
2015,266,GAB,4469659772.0,0.692
2015,268,GEO,136431058.0,0.798
2015,270,GMB,79782.362,0.467
2015,275,PSE,1574370.0,0.71
2015,276,DEU,29770087213.0,0.941
2015,288,GHA,2985229649.0,0.586
2015,296,KIR,967443.653,0.625
2015,300,GRC,8430925773.0,0.881
2015,304,GRL,870.61,
2015,308,GRD,71381.04,0.786
2015,320,GTM,439750512.0,0.629
2015,324,GIN,3368948.0,0.449
2015,328,GUY,96315.422,0.686
2015,340,HND,781635.0,0.61
2015,344,HKG,726451158.6,0.936
2015,348,HUN,2305058380.0,0.839
2015,352,ISL,76057572.0,0.948
2015,360,IDN,34652205368.0,0.698
2015,364,IRN,34705435572.0,0.782
2015,368,IRQ,49297490954.0,0.656
2015,372,IRL,857616578.9,0.924
2015,376,ISR,507320000.0,0.899
2015,380,ITA,14681841425.0,0.881
2015,384,CIV,1626330800.0,0.501
2015,388,JAM,194447476.0,0.712
2015,392,JPN,11380089464.0,0.913
2015,398,KAZ,31119562305.0,0.799
2015,400,JOR,10169315.0,0.738
2015,404,KEN,614519420.4,0.575
2015,410,KOR,33123851933.0,0.908
2015,414,KWT,48483614729.0,0.829
2015,417,KGZ,75215720.0,0.689
2015,418,LAO,5256409.0,0.604
2015,422,LBN,24010464.93,0.756
2015,426,LSO,429131.058,0.508
2015,428,LVA,881192524.9,0.853
2015,440,LTU,4151248566.0,0.865
2015,442,LUX,60811879.0,0.914
2015,446,MAC,48144.0,
2015,450,MDG,63390753.99,0.499
2015,454,MWI,1056753.426,0.498
2015,458,MYS,32976124812.0,0.792
2015,462,MDV,36762.0,0.728
2015,470,MLT,1505463385.0,0.887
2015,478,MRT,79879311.13,0.536
2015,480,MUS,6134264.0,0.791
2015,484,MEX,22508759352.0,0.769
2015,490,S19,11571306467.0,
2015,496,MNG,949731897.0,0.739
2015,498,MDA,10058404.0,0.749
2015,499,MNE,52304726.0,0.827
2015,500,MSR,56.059,
2015,504,MAR,431428353.5,0.656
2015,508,MOZ,1002101291.0,0.445
2015,512,OMN,23553924686.0,0.824
2015,516,NAM,103091113.0,0.627
2015,524,NPL,10327.0,0.568
2015,528,NLD,63170082934.0,0.932
2015,533,ABW,157607.0,
2015,540,NCL,197164.0,
2015,554,NZL,626500093.5,0.933
2015,558,NIC,14586725.0,0.644
2015,562,NER,148348623.0,0.367
2015,566,NGA,42559983434.0,0.52
2015,579,NOR,59870440335.0,0.952
2015,586,PAK,265131481.0,0.525
2015,591,PAN,1341692.0,0.802
2015,600,PRY,2086409589.0,0.738
2015,604,PER,2917393624.0,0.758
2015,608,PHL,774562943.0,0.696
2015,616,POL,6435630701.0,0.869
2015,620,PRT,4216178584.0,0.85
2015,624,GNB,6800.0,0.47
2015,634,QAT,64492461762.0,0.852
2015,642,ROU,2719262343.0,0.813
2015,643,RUS,216000000000.0,0.823
2015,646,RWA,89822501.35,0.509
2015,659,KNA,14092.578,0.829
2015,662,LCA,38685584.0,0.736
2015,670,VCT,10165.945,0.777
2015,682,SAU,153000000000.0,0.842
2015,686,SEN,362449093.0,0.501
2015,688,SRB,380617061.0,0.794
2015,690,SYC,140892523.8,0.797
2015,694,SLE,201950.0,0.438
2015,699,IND,31393703098.0,0.619
2015,702,SGP,43646591954.0,0.935
2015,703,SVK,2680739939.0,0.852
2015,704,VNM,4996619579.0,0.697
2015,705,SVN,1410473373.0,0.903
2015,710,ZAF,7785594534.0,0.721
2015,716,ZWE,65015784.71,0.544
2015,724,ESP,13987626733.0,0.889
2015,729,SDN,3000499379.0,0.514
2015,740,SUR,13769.681,0.707
2015,748,SWZ,14103034.7,0.577
2015,752,SWE,8649075220.0,0.937
2015,757,CHE,2749846136.0,0.952
2015,764,THA,8441643920.0,0.789
2015,768,TGO,36752338.84,0.51
2015,780,TTO,4768391669.0,0.812
2015,784,ARE,62503512106.0,0.86
2015,788,TUN,1014898193.0,0.724
2015,792,TUR,5148351329.0,0.821
2015,800,UGA,149045435.0,0.525
2015,804,UKR,488015617.0,0.764
2015,807,MKD,61568945.17,0.777
2015,818,EGY,3930655429.0,0.695
2015,826,GBR,32985991219.0,0.923
2015,834,TZA,128545435.0,0.507
2015,842,USA,104000000000.0,0.924
2015,854,BFA,33842505.66,0.413
2015,858,URY,21910759.0,0.807
2015,882,WSM,14901351.0,0.71
2015,887,YEM,996530.0,0.455
2015,894,ZMB,105308642.8,0.563
2016,4,AFG,27672616.0,0.483
2016,8,ALB,220895377.0,0.795
2016,12,DZA,28585808907.0,0.738
2016,20,AND,10279.645,0.859
2016,24,AGO,26009598468.0,0.595
2016,28,ATG,622734.0,0.822
2016,31,AZE,12270160389.0,0.752
2016,32,ARG,1445668427.0,0.848
2016,36,AUS,48540003837.0,0.936
2016,40,AUT,2467836361.0,0.913
2016,44,BHS,45509839.0,0.809
2016,48,BHR,3891035734.0,0.862
2016,51,ARM,61432518.0,0.773
2016,52,BRB,77303951.0,0.801
2016,56,BEL,17454388400.0,0.927
2016,60,BMU,15673.0,
2016,68,BOL,2221403106.0,0.7
2016,70,BIH,362509760.0,0.767
2016,72,BWA,12483696.0,0.697
2016,76,BRA,13528932694.0,0.753
2016,84,BLZ,17742989.0,0.72
2016,90,SLB,47538.0,0.564
2016,96,BRN,4284287803.0,0.83
2016,100,BGR,2407807205.0,0.81
