year,country_code,country_code_letter,HDI_value,dollar_per_capita
2013,533,ABW,,0.01
2014,533,ABW,,0.11
2016,533,ABW,,5.7
2017,533,ABW,,2.31
2018,533,ABW,,0.0
2019,533,ABW,,0.01
2020,533,ABW,,0.01
2015,4,AFG,0.479,0.0
2016,4,AFG,0.483,0.98
2017,4,AFG,0.485,0.05
2018,4,AFG,0.486,0.24
2019,4,AFG,0.492,0.23
2015,24,AGO,0.591,0.61
2016,24,AGO,0.595,0.02
2017,24,AGO,0.597,0.0
2018,24,AGO,0.598,0.01
2019,24,AGO,0.597,0.07
2020,24,AGO,0.594,0.01
2013,8,ALB,0.793,0.03
2014,8,ALB,0.797,0.01
2015,8,ALB,0.797,0.02
2016,8,ALB,0.795,0.09
2017,8,ALB,0.796,0.07
2018,8,ALB,0.797,0.03
2019,8,ALB,0.8,0.12
2020,8,ALB,0.784,0.07
2016,20,AND,0.859,0.0
2013,784,ARE,0.847,28.52
2014,784,ARE,0.853,28.77
2015,784,ARE,0.86,60.82
2016,784,ARE,0.866,57.69
2017,784,ARE,0.898,36.53
2018,784,ARE,0.917,36.81
2019,784,ARE,0.933,17.7
2020,784,ARE,0.93,14.36
2013,32,ARG,0.846,195.2
2014,32,ARG,0.847,121.73
2015,32,ARG,0.85,111.37
2016,32,ARG,0.848,158.9
2017,32,ARG,0.853,157.29
2018,32,ARG,0.852,168.81
2019,32,ARG,0.853,207.11
2020,32,ARG,0.841,198.49
2014,51,ARM,0.764,0.03
2015,51,ARM,0.769,0.06
2016,51,ARM,0.773,0.0
2017,51,ARM,0.775,0.01
2018,51,ARM,0.781,0.0
2019,51,ARM,0.789,0.0
2020,51,ARM,0.769,0.01
2016,28,ATG,0.822,0.04
2017,28,ATG,0.824,0.0
2019,28,ATG,0.831,0.0
2020,28,ATG,0.82,0.0
2013,36,AUS,0.929,347.97
2014,36,AUS,0.931,316.4
2015,36,AUS,0.933,269.89
2016,36,AUS,0.936,210.73
2017,36,AUS,0.937,266.26
2018,36,AUS,0.941,192.84
2019,36,AUS,0.941,134.41
2020,36,AUS,0.948,146.27
2013,40,AUT,0.907,60.46
2014,40,AUT,0.911,63.27
2015,40,AUT,0.91,47.39
2016,40,AUT,0.913,47.65
2017,40,AUT,0.914,51.23
2018,40,AUT,0.917,48.99
2019,40,AUT,0.92,52.57
2020,40,AUT,0.916,59.27
2013,31,AZE,0.745,0.0
2014,31,AZE,0.749,0.0
2015,31,AZE,0.751,0.01
2016,31,AZE,0.752,0.27
2017,31,AZE,0.754,0.0
2018,31,AZE,0.757,0.79
2019,31,AZE,0.762,0.3
2020,31,AZE,0.722,0.0
2013,108,BDI,0.416,0.0
2014,108,BDI,0.419,0.02
2015,108,BDI,0.42,0.0
2016,108,BDI,0.423,0.0
2018,108,BDI,0.421,0.02
2019,108,BDI,0.423,0.0
2020,108,BDI,0.419,0.0
2013,56,BEL,0.917,50.75
2014,56,BEL,0.922,51.65
2015,56,BEL,0.924,43.27
2016,56,BEL,0.927,40.45
2017,56,BEL,0.931,42.61
2018,56,BEL,0.933,52.38
2019,56,BEL,0.936,43.56
2020,56,BEL,0.93,50.03
2013,204,BEN,0.503,1.4
2014,204,BEN,0.506,0.71
2015,204,BEN,0.509,0.02
2016,204,BEN,0.508,0.0
2017,204,BEN,0.505,0.0
2018,204,BEN,0.506,0.02
2019,204,BEN,0.506,0.04
2020,204,BEN,0.501,0.01
2013,854,BFA,0.399,0.55
2014,854,BFA,0.403,0.84
2015,854,BFA,0.413,0.69
2016,854,BFA,0.422,0.27
2017,854,BFA,0.432,0.9
2018,854,BFA,0.443,0.14
2019,854,BFA,0.446,0.39
2020,854,BFA,0.446,1.3
2013,50,BGD,0.577,0.02
2015,50,BGD,0.604,0.04
2013,100,BGR,0.804,220.62
2014,100,BGR,0.807,174.11
2015,100,BGR,0.809,139.38
2016,100,BGR,0.81,165.47
2017,100,BGR,0.81,155.18
2018,100,BGR,0.811,182.75
2019,100,BGR,0.813,229.03
2020,100,BGR,0.802,203.83
2013,48,BHR,0.839,0.47
2014,48,BHR,0.839,0.34
2015,48,BHR,0.859,0.84
2016,48,BHR,0.862,0.64
2017,48,BHR,0.867,0.3
2018,48,BHR,0.88,0.5
2019,48,BHR,0.888,0.72
2020,48,BHR,0.884,3.5
2013,44,BHS,0.804,0.26
2014,44,BHS,0.807,0.01
2015,44,BHS,0.807,0.07
2016,44,BHS,0.809,0.0
2017,44,BHS,0.812,0.0
2018,44,BHS,0.814,0.0
2019,44,BHS,0.802,0.07
2013,70,BIH,0.745,3.82
2014,70,BIH,0.751,6.97
2015,70,BIH,0.757,5.54
2016,70,BIH,0.767,8.46
