year,country_code,country_code_letter,HDI_value,dollar_per_capita
2013,8,ALB,0.793,0.31
2013,12,DZA,0.729,8.95
2013,20,AND,0.851,0.0
2013,31,AZE,0.745,1.08
2013,32,ARG,0.846,7.75
2013,36,AUS,0.929,259.23
2013,40,AUT,0.907,116.45
2013,44,BHS,0.804,2.38
2013,48,BHR,0.839,38.27
2013,50,BGD,0.577,0.08
2013,51,ARM,0.757,0.78
2013,56,BEL,0.917,304.47
2013,68,BOL,0.681,5.99
2013,70,BIH,0.745,63.38
2013,76,BRA,0.75,14.07
2013,96,BRN,0.835,4.17
2013,100,BGR,0.804,38.86
2013,104,MMR,0.538,0.02
2013,108,BDI,0.416,0.0
2013,112,BLR,0.806,2.98
2013,116,KHM,0.554,0.0
2013,120,CMR,0.544,0.87
2013,124,CAN,0.923,145.39
2013,90,SLB,0.563,0.0
2013,72,BWA,0.676,17.0
2013,52,BRB,0.793,0.37
2013,28,ATG,0.812,0.67
2013,144,LKA,0.752,0.47
2013,152,CHL,0.837,92.41
2013,156,CHN,0.723,9.97
2013,170,COL,0.75,3.11
2013,178,COG,0.6,0.07
2013,188,CRI,0.787,2.88
2013,191,HRV,0.839,5.13
2013,196,CYP,0.863,0.47
2013,203,CZE,0.884,53.87
2013,204,BEN,0.503,0.0
2013,208,DNK,0.933,27.81
2013,212,DMA,0.72,0.02
2013,214,DOM,0.722,1.26
2013,218,ECU,0.755,0.33
2013,222,SLV,0.664,0.8
2013,231,ETH,0.437,0.0
2013,233,EST,0.881,160.38
2013,242,FJI,0.712,0.59
2013,246,FIN,0.926,134.48
2013,251,FRA,0.888,67.01
2013,258,PYF,,0.02
2013,266,GAB,0.678,0.45
2013,268,GEO,0.784,9.08
2013,270,GMB,0.461,0.04
2013,275,PSE,0.704,0.07
2013,276,DEU,0.938,117.19
2013,288,GHA,0.587,0.27
2013,300,GRC,0.874,15.41
2013,304,GRL,,0.01
2013,308,GRD,0.783,0.0
2013,320,GTM,0.623,1.69
2013,324,GIN,0.43,0.1
2013,328,GUY,0.674,0.06
2013,344,HKG,0.928,87.21
2013,348,HUN,0.843,58.17
