year,country_code,country_code_letter,HDI_value,dollar_per_capita
2013,68,BOL,0.681,625.58
2013,70,BIH,0.745,179.39
2013,76,BRA,0.75,112.86
2013,84,BLZ,0.721,236.31
2013,96,BRN,0.835,26870.93
2013,100,BGR,0.804,607.27
2013,104,MMR,0.538,76.49
2013,108,BDI,0.416,0.0
2013,112,BLR,0.806,1275.36
2013,116,KHM,0.554,0.0
2013,120,CMR,0.544,118.15
2013,124,CAN,0.923,3420.66
2013,140,CAF,0.352,0.01
2013,144,LKA,0.752,1.54
2013,152,CHL,0.837,60.18
2013,156,CHN,0.723,24.79
2013,170,COL,0.75,851.07
2013,174,COM,0.546,0.0
2013,178,COG,0.6,1629.37
2013,188,CRI,0.787,0.88
2013,191,HRV,0.839,421.06
2013,196,CYP,0.863,276.13
2013,203,CZE,0.884,454.45
2013,204,BEN,0.503,3.48
2013,208,DNK,0.933,1866.8
2013,212,DMA,0.72,0.04
2013,214,DOM,0.722,15.34
2013,90,SLB,0.563,0.06
2013,72,BWA,0.676,24.75
2013,56,BEL,0.917,3797.34
2013,52,BRB,0.793,549.35
2013,51,ARM,0.757,29.26
2013,50,BGD,0.577,1.78
2013,48,BHR,0.839,8121.1
2013,44,BHS,0.804,627.54
2013,40,AUT,0.907,531.93
2013,36,AUS,0.929,2820.01
2013,32,ARG,0.846,83.55
2013,31,AZE,0.745,2360.66
2013,28,ATG,0.812,46.98
2013,24,AGO,0.555,2541.71
2013,20,AND,0.851,1.66
2013,12,DZA,0.729,1689.54
2013,8,ALB,0.793,249.88
2013,218,ECU,0.755,892.4
2013,222,SLV,0.664,20.94
2013,231,ETH,0.437,0.0
2013,233,EST,0.881,1430.48
2013,242,FJI,0.712,353.35
2013,246,FIN,0.926,1672.05
2013,251,FRA,0.888,336.97
2013,258,PYF,,0.1
2013,266,GAB,0.678,4483.35
2013,268,GEO,0.784,19.0
2013,270,GMB,0.461,1.12
2013,275,PSE,0.704,0.53
2013,276,DEU,0.938,451.4
2013,288,GHA,0.587,114.24
2013,296,KIR,0.602,19.03
2013,300,GRC,0.874,1318.8
2013,304,GRL,,0.01
2013,308,GRD,0.783,3.76
2013,320,GTM,0.623,30.12
2013,324,GIN,0.43,1.07
2013,328,GUY,0.674,0.03
2013,344,HKG,0.928,133.6
2013,348,HUN,0.843,395.16
2013,352,ISL,0.942,246.8
2013,360,IDN,0.687,224.4
2013,364,IRN,0.78,821.77
2013,368,IRQ,0.648,2538.39
2013,372,IRL,0.911,236.32
2013,376,ISR,0.896,130.91
2013,380,ITA,0.88,383.87
2013,384,CIV,0.48,120.92
2013,388,JAM,0.715,127.39
2013,392,JPN,0.909,130.9
2013,398,KAZ,0.789,3680.76
2013,400,JOR,0.738,3.01
2013,404,KEN,0.562,4.85
2013,410,KOR,0.902,1073.05
2013,414,KWT,0.813,30788.14
2013,417,KGZ,0.68,28.85
2013,418,LAO,0.587,2.79
2013,422,LBN,0.756,58.66
2013,426,LSO,0.494,0.19
2013,428,LVA,0.846,535.27
2013,440,LTU,0.858,2538.14
2013,442,LUX,0.922,231.59
2013,446,MAC,,0.48
2013,450,MDG,0.494,3.0
2013,454,MWI,0.484,0.05
2013,458,MYS,0.782,1685.86
2013,462,MDV,0.715,0.19
2013,470,MLT,0.874,5201.46
2013,478,MRT,0.53,16.77
2013,480,MUS,0.779,0.75
2013,484,MEX,0.761,411.34
2013,496,MNG,0.73,569.16
2013,498,MDA,0.726,9.4
2013,499,MNE,0.819,230.35
2013,504,MAR,0.636,46.92
2013,508,MOZ,0.432,53.75
2013,512,OMN,0.814,10820.48
2013,516,NAM,0.61,31.37
2013,524,NPL,0.563,0.0
2013,528,NLD,0.929,6783.92
2013,533,ABW,,0.05
2013,540,NCL,,0.63
2013,554,NZL,0.93,319.21
2013,558,NIC,0.631,3.52
2013,562,NER,0.358,21.81
2013,566,NGA,0.504,438.3
2013,579,NOR,0.945,20670.83
2013,586,PAK,0.51,2.5
2013,591,PAN,0.794,1.24
2013,600,PRY,0.729,378.84
2013,604,PER,0.749,234.97
2013,608,PHL,0.689,20.92
2013,616,POL,0.865,252.09
2013,620,PRT,0.842,625.13
2013,634,QAT,0.852,62616.56
2013,642,ROU,0.811,172.73
2013,643,RUS,0.816,2586.82
2013,646,RWA,0.502,6.54
2013,659,KNA,0.819,0.0
2013,662,LCA,0.723,189.13
2013,670,VCT,0.766,0.36
2013,682,SAU,0.831,11656.53
2013,686,SEN,0.497,32.03
2013,688,SRB,0.785,98.37
2013,690,SYC,0.786,4575.76
2013,699,IND,0.6,53.69
2013,702,SGP,0.93,13225.15
2013,703,SVK,0.849,865.34
2013,704,VNM,0.689,106.93
2013,705,SVN,0.901,922.82
2013,710,ZAF,0.705,185.81
2013,716,ZWE,0.532,4.28
2013,724,ESP,0.88,465.8
2013,729,SDN,0.503,34.53
2013,740,SUR,0.7,325.05
2013,748,SWZ,0.546,23.0
2013,752,SWE,0.932,1369.37
2013,757,CHE,0.947,450.96
2013,764,THA,0.754,204.98
2013,768,TGO,0.495,16.15
2013,776,TON,0.719,28.43
2013,780,TTO,0.801,8291.48
2013,784,ARE,0.847,17028.4
2013,788,TUN,0.719,233.0
2013,792,TUR,0.802,132.87
2013,800,UGA,0.511,4.35
2013,804,UKR,0.774,62.12
2013,807,MKD,0.763,55.36
2013,818,EGY,0.684,79.28
2013,826,GBR,0.923,972.34
2013,834,TZA,0.504,2.05
2013,842,USA,0.922,470.44
2013,854,BFA,0.399,6.54
2013,858,URY,0.802,13.33
2013,862,VEN,0.771,2872.36
2013,882,WSM,0.704,76.29
2013,887,YEM,0.496,219.98
2013,894,ZMB,0.554,12.92
2014,8,ALB,0.797,213.18
2014,12,DZA,0.732,1497.61
2014,20,AND,0.854,1.47
2014,24,AGO,0.565,2110.99
2014,28,ATG,0.815,11.53
2014,31,AZE,0.749,2116.1
2014,32,ARG,0.847,74.4
2014,36,AUS,0.931,2724.36
2014,40,AUT,0.911,478.27
2014,44,BHS,0.807,432.48
2014,48,BHR,0.839,11394.55
2014,51,ARM,0.764,29.98
2014,52,BRB,0.795,518.35
2014,56,BEL,0.922,3251.13
2014,68,BOL,0.683,615.25
2014,70,BIH,0.751,158.77
2014,72,BWA,0.683,27.73
2014,76,BRA,0.753,125.95
2014,84,BLZ,0.716,167.48
2014,90,SLB,0.562,0.01
2014,96,BRN,0.834,23335.0
2014,100,BGR,0.807,523.85
2014,104,MMR,0.548,90.84
2014,108,BDI,0.419,0.07
2014,112,BLR,0.81,1278.94
2014,116,KHM,0.559,0.0
2014,120,CMR,0.553,131.74
2014,124,CAN,0.925,3640.56
2014,144,LKA,0.757,14.22
2014,152,CHL,0.841,53.91
2014,156,CHN,0.732,25.11
2014,170,COL,0.755,771.78
2014,174,COM,0.551,0.58
2014,178,COG,0.609,804.83
2014,188,CRI,0.79,0.7
2014,191,HRV,0.842,445.95
2014,196,CYP,0.867,258.94
2014,203,CZE,0.889,438.99
2014,204,BEN,0.506,9.61
2014,208,DNK,0.932,1441.96
2014,214,DOM,0.728,54.85
2014,218,ECU,0.759,827.94
2014,222,SLV,0.663,22.23
2014,231,ETH,0.445,0.01
2014,233,EST,0.879,1478.64
2014,242,FJI,0.715,385.63
2014,246,FIN,0.928,1466.01
2014,251,FRA,0.892,331.55
2014,258,PYF,,0.04
2014,266,GAB,0.687,4033.12
2014,268,GEO,0.793,20.7
2014,270,GMB,0.462,0.4
2014,275,PSE,0.698,0.53
2014,276,DEU,0.942,437.05
2014,288,GHA,0.582,164.45
2014,296,KIR,0.612,7.3
2014,300,GRC,0.879,1262.15
2014,304,GRL,,0.0
2014,308,GRD,0.783,0.59
2014,320,GTM,0.64,45.44
2014,324,GIN,0.436,0.91
2014,328,GUY,0.682,0.01
2014,340,HND,0.603,0.13
2014,344,HKG,0.932,118.15
2014,348,HUN,0.84,384.28
2014,352,ISL,0.946,307.57
2014,360,IDN,0.69,197.52
2014,364,IRN,0.783,751.57
2014,368,IRQ,0.651,2309.43
2014,372,IRL,0.918,241.49
2014,376,ISR,0.899,95.99
2014,380,ITA,0.882,326.81
2014,384,CIV,0.499,107.79
2014,388,JAM,0.714,108.03
2014,392,JPN,0.91,124.33
2014,398,KAZ,0.794,3407.03
2014,400,JOR,0.737,1.84
2014,410,KOR,0.906,1037.92
2014,414,KWT,0.816,25785.54
2014,417,KGZ,0.686,21.9
2014,418,LAO,0.597,0.16
2014,422,LBN,0.755,5.09
2014,426,LSO,0.5,0.19
