year,country_code,country_code_letter,HDI_value,dollar_per_capita
2013,70,BIH,0.745,11.16
2013,76,BRA,0.75,176.76
2013,96,BRN,0.835,0.18
2013,100,BGR,0.804,103.58
2013,104,MMR,0.538,0.47
2013,112,BLR,0.806,0.33
2013,124,CAN,0.923,240.36
2013,144,LKA,0.752,0.35
2013,152,CHL,0.837,1099.19
2013,156,CHN,0.723,0.28
2013,170,COL,0.75,0.27
2013,178,COG,0.6,0.1
2013,188,CRI,0.787,0.03
2013,191,HRV,0.839,2.39
2013,196,CYP,0.863,0.17
2013,203,CZE,0.884,2.42
2013,208,DNK,0.933,2.71
2013,212,DMA,0.72,0.0
2013,214,DOM,0.722,9.87
2013,108,BDI,0.416,0.63
2013,90,SLB,0.563,0.87
2013,72,BWA,0.676,59.98
2013,68,BOL,0.681,180.16
2013,56,BEL,0.917,27.49
2013,52,BRB,0.793,0.02
2013,51,ARM,0.757,100.46
2013,50,BGD,0.577,0.12
2013,48,BHR,0.839,489.13
2013,44,BHS,0.804,0.0
2013,40,AUT,0.907,4.87
2013,36,AUS,0.929,3502.9
2013,32,ARG,0.846,31.96
2013,31,AZE,0.745,1.8
2013,20,AND,0.851,0.05
2013,12,DZA,0.729,0.08
2013,8,ALB,0.793,49.28
2013,218,ECU,0.755,4.75
2013,222,SLV,0.664,0.21
2013,231,ETH,0.437,0.02
2013,233,EST,0.881,5.83
2013,242,FJI,0.712,10.28
2013,246,FIN,0.926,44.1
2013,251,FRA,0.888,5.8
2013,266,GAB,0.678,94.43
2013,268,GEO,0.784,44.18
2013,275,PSE,0.704,0.02
2013,276,DEU,0.938,5.56
2013,288,GHA,0.587,6.45
2013,300,GRC,0.874,5.82
2013,320,GTM,0.623,33.25
2013,324,GIN,0.43,41.03
2013,328,GUY,0.674,177.81
2013,344,HKG,0.928,5.1
2013,348,HUN,0.843,1.0
2013,352,ISL,0.942,0.27
2013,360,IDN,0.687,25.58
2013,364,IRN,0.78,21.74
2013,372,IRL,0.911,105.9
2013,376,ISR,0.896,0.39
2013,380,ITA,0.88,4.81
2013,384,CIV,0.48,0.84
2013,388,JAM,0.715,46.48
2013,392,JPN,0.909,1.07
2013,398,KAZ,0.789,155.47
2013,400,JOR,0.738,0.04
2013,404,KEN,0.562,0.09
2013,410,KOR,0.902,3.2
2013,414,KWT,0.813,0.04
2013,417,KGZ,0.68,3.2
2013,418,LAO,0.587,105.2
2013,422,LBN,0.756,0.03
2013,428,LVA,0.846,0.75
2013,440,LTU,0.858,0.5
2013,442,LUX,0.922,19.34
2013,450,MDG,0.494,4.38
2013,454,MWI,0.484,8.36
2013,458,MYS,0.782,22.74
2013,470,MLT,0.874,0.08
2013,478,MRT,0.53,421.16
2013,480,MUS,0.779,0.04
2013,484,MEX,0.761,33.89
2013,496,MNG,0.73,607.53
2013,499,MNE,0.819,20.27
2013,504,MAR,0.636,7.11
2013,508,MOZ,0.432,6.3
2013,512,OMN,0.814,357.26
2013,516,NAM,0.61,429.91
2013,524,NPL,0.563,0.0
2013,528,NLD,0.929,68.94
2013,540,NCL,,705.66
2013,554,NZL,0.93,17.81
2013,558,NIC,0.631,0.01
2013,562,NER,0.358,35.6
2013,566,NGA,0.504,0.35
2013,579,NOR,0.945,94.14
2013,586,PAK,0.51,0.64
2013,591,PAN,0.794,0.01
2013,600,PRY,0.729,0.01
2013,604,PER,0.749,386.23
2013,608,PHL,0.689,22.77
2013,616,POL,0.865,1.56
2013,620,PRT,0.842,56.51
2013,634,QAT,0.852,2.76
2013,642,ROU,0.811,4.12
2013,643,RUS,0.816,25.14
2013,646,RWA,0.502,20.09
2013,662,LCA,0.723,0.0
2013,682,SAU,0.831,5.64
2013,686,SEN,0.497,0.01
2013,688,SRB,0.785,16.14
2013,699,IND,0.6,1.84
2013,702,SGP,0.93,3.99
2013,703,SVK,0.849,8.63
2013,704,VNM,0.689,2.23
2013,705,SVN,0.901,5.82
