year,country_code,country_code_letter,HDI_value,dollar_per_capita
2013,56,BEL,0.917,188.53
2013,60,BMU,,0.07
2013,68,BOL,0.681,5.65
2013,70,BIH,0.745,105.83
2013,76,BRA,0.75,10.09
2013,84,BLZ,0.721,8.97
2013,90,SLB,0.563,426.86
2013,96,BRN,0.835,3.27
2013,100,BGR,0.804,50.89
2013,104,MMR,0.538,13.64
2013,108,BDI,0.416,0.0
2013,112,BLR,0.806,72.53
2013,116,KHM,0.554,4.15
2013,120,CMR,0.544,22.22
2013,72,BWA,0.676,1.56
2013,52,BRB,0.793,0.76
2013,51,ARM,0.757,0.22
2013,50,BGD,0.577,0.01
2013,48,BHR,0.839,34.63
2013,44,BHS,0.804,0.68
2013,40,AUT,0.907,584.19
2013,36,AUS,0.929,43.85
2013,32,ARG,0.846,4.64
2013,31,AZE,0.745,0.16
2013,28,ATG,0.812,2.03
2013,24,AGO,0.555,0.05
2013,20,AND,0.851,16.88
2013,12,DZA,0.729,0.0
2013,8,ALB,0.793,5.82
2013,124,CAN,0.923,351.67
2013,132,CPV,0.664,0.0
2013,140,CAF,0.352,4.18
2013,144,LKA,0.752,2.4
2013,152,CHL,0.837,125.08
2013,156,CHN,0.723,9.35
2013,170,COL,0.75,0.93
2013,174,COM,0.546,0.0
2013,178,COG,0.6,21.13
2013,188,CRI,0.787,13.82
2013,191,HRV,0.839,168.68
2013,196,CYP,0.863,0.59
2013,203,CZE,0.884,205.99
2013,204,BEN,0.503,1.66
2013,208,DNK,0.933,150.87
2013,212,DMA,0.72,0.04
2013,214,DOM,0.722,0.7
2013,218,ECU,0.755,14.64
2013,222,SLV,0.664,1.42
2013,231,ETH,0.437,0.01
2013,233,EST,0.881,1071.29
2013,242,FJI,0.712,35.97
2013,246,FIN,0.926,567.97
2013,251,FRA,0.888,41.96
2013,258,PYF,,1.06
2013,266,GAB,0.678,136.06
2013,268,GEO,0.784,6.26
2013,270,GMB,0.461,0.26
2013,275,PSE,0.704,6.97
2013,276,DEU,0.938,108.67
