year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,8,ALB,901120.0,0.793,2895092
2013,12,DZA,343778159.0,0.729,38414171
2013,20,AND,263.674,0.851,75194
2013,31,AZE,10195044.0,0.745,9416801
2013,32,ARG,330171924.0,0.846,42582455
2013,36,AUS,5995514082.0,0.929,23128129
2013,40,AUT,987438326.0,0.907,8479823
2013,44,BHS,902478.0,0.804,378953
2013,48,BHR,47960514.0,0.839,1253191
2013,50,BGD,12982267.0,0.577,156532141
2013,51,ARM,2355759.0,0.757,3022000
2013,56,BEL,3397702603.0,0.917,11159407
2013,68,BOL,63961095.26,0.681,10682608
2013,70,BIH,228872983.0,0.745,3610859
2013,76,BRA,2791605563.0,0.75,198478299
2013,96,BRN,1713359.0,0.835,411202
2013,100,BGR,278248278.0,0.804,7160005
2013,104,MMR,791219.0,0.538,50262658
2013,108,BDI,17112.0,0.416,10439341
2013,112,BLR,28122100.0,0.806,9443211
2013,116,KHM,216.0,0.554,15170208
2013,120,CMR,18564762.0,0.544,21402376
2013,124,CAN,5100323067.0,0.923,35080992
2013,90,SLB,37.112,0.563,594945
2013,72,BWA,36383574.79,0.676,2140682
2013,52,BRB,102935.0,0.793,277665
2013,28,ATG,59367.0,0.812,88064
2013,144,LKA,9731981.0,0.752,20585000
2013,152,CHL,1634493937.0,0.837,17687006
2013,156,CHN,13592888478.0,0.723,1363240000
2013,170,COL,143524805.0,0.75,46151584
2013,178,COG,332201.0,0.6,4857099
2013,188,CRI,13579866.0,0.787,4716147
2013,191,HRV,21725027.0,0.839,4233922
2013,196,CYP,561071.418,0.863,1183895
2013,203,CZE,566455135.0,0.884,10514272
2013,204,BEN,38499.0,0.503,10708834
2013,208,DNK,156136245.0,0.933,5614932
2013,212,DMA,1099.999,0.72,69715
2013,214,DOM,12816165.0,0.722,10193833
2013,218,ECU,5236379.0,0.755,15807128
2013,222,SLV,4911863.51,0.664,6138839
2013,231,ETH,95627.535,0.437,98438751
2013,233,EST,211377514.0,0.881,1317997
2013,242,FJI,539702.0,0.712,916352
2013,246,FIN,731442053.0,0.926,5438972
2013,251,FRA,4422345951.0,0.888,65997932
2013,258,PYF,4239.0,,274728
2013,266,GAB,853330.344,0.678,1913059
2013,268,GEO,33769934.0,0.784,3717668
2013,270,GMB,88898.615,0.461,2103820
2013,275,PSE,282086.0,0.704,4076708
2013,276,DEU,9450639063.0,0.938,80645605
2013,288,GHA,7409599.0,0.587,27386193
2013,300,GRC,168965151.0,0.874,10965211
2013,304,GRL,830.21,,56483
2013,308,GRD,37.037,0.783,113487
2013,320,GTM,25929790.0,0.623,15387337
2013,324,GIN,1142892.0,0.43,11191873
2013,328,GUY,46803.0,0.674,750021
2013,344,HKG,626084527.0,0.928,7178900
2013,348,HUN,574250906.0,0.843,9872734
2013,352,ISL,3386801.0,0.942,323764
2013,360,IDN,486710871.0,0.687,255852467
2013,364,IRN,506421518.9,0.78,80414686
2013,372,IRL,851261650.7,0.911,4623816
2013,376,ISR,1207422000.0,0.896,8059500
2013,380,ITA,2169554345.0,0.88,60311613
2013,384,CIV,9988364.32,0.48,23939775
2013,388,JAM,536472765.0,0.715,2783687
2013,392,JPN,3951039980.0,0.909,127445000
2013,398,KAZ,3129128949.0,0.789,17556502
2013,400,JOR,422509721.0,0.738,7991809
2013,404,KEN,128421957.0,0.562,44986791
2013,410,KOR,3099622046.0,0.902,50428893
2013,414,KWT,28370107.0,0.813,3507844
2013,417,KGZ,581162.0,0.68,5777150
2013,418,LAO,76665204.0,0.587,6611385
2013,422,LBN,20708004.0,0.756,5743436
2013,426,LSO,83.272,0.494,2056504
2013,428,LVA,8909616.0,0.846,2012647
2013,440,LTU,135034126.0,0.858,2961250
2013,442,LUX,2034779.0,0.922,543360
2013,450,MDG,501143.457,0.494,24109290
2013,454,MWI,94048.061,0.484,16161816
2013,458,MYS,610748485.0,0.782,30174265
2013,470,MLT,2928659.0,0.874,424810
2013,480,MUS,3509547.0,0.779,1258927
2013,484,MEX,968465050.0,0.761,118343573
2013,490,S19,1586239900.0,,
2013,496,MNG,16352.0,0.73,2899011
2013,498,MDA,251646.0,0.726,2859558
2013,499,MNE,69258.0,0.819,622587
2013,504,MAR,1448085540.0,0.636,33787571
2013,508,MOZ,2328001.0,0.432,25051611
2013,512,OMN,35900132.0,0.814,3833913
2013,516,NAM,8312228.0,0.61,2252508
2013,524,NPL,192823.0,0.563,27589996
2013,528,NLD,4482545668.0,0.929,16804432
2013,533,ABW,941568.0,,105675
2013,540,NCL,101345589.0,,276822
2013,554,NZL,16253788.67,0.93,4442100
2013,558,NIC,3900510.0,0.631,5983845
2013,562,NER,22665996.0,0.358,18519898
2013,566,NGA,16205441.0,0.504,181049443
2013,579,NOR,606692050.0,0.945,5079623
2013,586,PAK,33242596.0,0.51,211073978
2013,591,PAN,4222878.0,0.794,3825329
2013,600,PRY,11047893.0,0.729,5982445
2013,604,PER,300010549.5,0.749,29817919
2013,608,PHL,467834451.0,0.689,102076336
2013,616,POL,1000654153.0,0.865,38040196
2013,620,PRT,80184656.0,0.842,10457295
2013,634,QAT,638189351.5,0.852,1916426
2013,642,ROU,217568166.0,0.811,19983693
2013,643,RUS,8035055104.0,0.816,143805638
2013,646,RWA,119096.473,0.502,11093340
2013,662,LCA,7987.0,0.723,173369
2013,682,SAU,1710021871.0,0.831,27624004
2013,686,SEN,170074007.0,0.497,13710849
2013,688,SRB,41829871.0,0.785,7166553
2013,690,SYC,10272.52,0.786,89949
2013,699,IND,1466232078.0,0.6,1295829511
2013,702,SGP,518173070.5,0.93,5399162
2013,703,SVK,212461104.3,0.849,5413393
2013,704,VNM,429744957.0,0.689,90573104
2013,705,SVN,133705661.0,0.901,2059953
2013,710,ZAF,908845832.6,0.705,54678791
2013,716,ZWE,1339409.39,0.532,14013808
2013,724,ESP,1480409134.0,0.88,46604197
2013,729,SDN,5864.0,0.503,37785849
2013,740,SUR,10500.0,0.7,569020
2013,748,SWZ,8388130.813,0.546,1129990
2013,752,SWE,525914912.7,0.932,9600379
2013,757,CHE,699642412.2,0.947,8089346
2013,764,THA,642181046.0,0.754,69845114
2013,768,TGO,983968.5,0.495,7285442
2013,780,TTO,2571090554.0,0.801,1340557
2013,784,ARE,68095282.69,0.847,7693031
2013,788,TUN,476365859.0,0.719,11141361
2013,792,TUR,1202387659.0,0.802,76147624
2013,800,UGA,3542386.0,0.511,35337042
2013,804,UKR,1744303013.0,0.774,46126770
2013,807,MKD,11597141.0,0.763,1922716
2013,818,EGY,488870480.0,0.684,95333553
2013,826,GBR,3998242496.0,0.923,64139000
2013,834,TZA,3327135.0,0.504,48824128
2013,842,USA,12435825208.0,0.922,316726282
2013,854,BFA,438008.441,0.399,17695409
2013,858,URY,26257256.0,0.802,3345337
2013,862,VEN,132583539.0,0.771,29912198
2013,882,WSM,6862.0,0.704,198268
2013,887,YEM,612051.0,0.496,29312952
2013,894,ZMB,506579048.9,0.554,15398997
2014,8,ALB,795407.0,0.797,2889104
2014,12,DZA,634907125.0,0.732,39205031
2014,20,AND,1112.07,0.854,73737
2014,28,ATG,33670.0,0.815,88765
2014,31,AZE,6979792.0,0.749,9535079
2014,32,ARG,330028784.4,0.847,43024071
2014,36,AUS,5824191498.0,0.931,23475686
2014,40,AUT,1019473774.0,0.911,8546356
2014,44,BHS,753629.0,0.807,382298
2014,48,BHR,118326752.0,0.839,1314562
2014,51,ARM,409497.0,0.764,3013800
2014,52,BRB,83798.0,0.795,278348
2014,56,BEL,3208763113.0,0.922,11209057
2014,60,BMU,6069.0,,63529
2014,68,BOL,39856523.85,0.683,10848888
2014,70,BIH,268194334.0,0.751,3564829
2014,72,BWA,37673015.04,0.683,2172044
2014,76,BRA,3346863098.0,0.753,200085127
2014,84,BLZ,8679.0,0.716,348923
2014,90,SLB,96260.787,0.562,616908
2014,96,BRN,1191697.0,0.834,416750
2014,100,BGR,298594993.0,0.807,7073572
2014,104,MMR,1110914.04,0.548,50681634
