year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,70,BIH,40304689.0,0.745,3610859
2013,76,BRA,35082512117.0,0.75,198478299
2013,96,BRN,75180.0,0.835,411202
2013,100,BGR,741612810.0,0.804,7160005
2013,104,MMR,23759525.0,0.538,50262658
2013,112,BLR,3097500.0,0.806,9443211
2013,124,CAN,8432113295.0,0.923,35080992
2013,144,LKA,7142539.0,0.752,20585000
2013,152,CHL,19441467830.0,0.837,17687006
2013,156,CHN,378872619.0,0.723,1363240000
2013,170,COL,12607492.0,0.75,46151584
2013,178,COG,493096.0,0.6,4857099
2013,188,CRI,123407.0,0.787,4716147
2013,191,HRV,10099748.0,0.839,4233922
2013,196,CYP,199217.7,0.863,1183895
2013,203,CZE,25395663.0,0.884,10514272
2013,208,DNK,15190350.0,0.933,5614932
2013,212,DMA,333.333,0.72,69715
2013,214,DOM,100622492.0,0.722,10193833
2013,108,BDI,6528202.0,0.416,10439341
2013,90,SLB,519186.413,0.563,594945
2013,72,BWA,128392567.3,0.676,2140682
2013,68,BOL,1924609309.0,0.681,10682608
2013,56,BEL,306734634.3,0.917,11159407
2013,52,BRB,4197.0,0.793,277665
2013,51,ARM,303604933.0,0.757,3022000
2013,50,BGD,18157558.0,0.577,156532141
2013,48,BHR,612969078.0,0.839,1253191
2013,44,BHS,432.0,0.804,378953
2013,40,AUT,41259100.0,0.907,8479823
2013,36,AUS,81015413674.0,0.929,23128129
2013,32,ARG,1361145137.0,0.846,42582455
2013,31,AZE,16982693.0,0.745,9416801
2013,20,AND,4111.474,0.851,75194
2013,12,DZA,3142770.0,0.729,38414171
2013,8,ALB,142657352.0,0.793,2895092
2013,218,ECU,75162518.0,0.755,15807128
2013,222,SLV,1277366.34,0.664,6138839
2013,231,ETH,2015196.115,0.437,98438751
2013,233,EST,7678526.0,0.881,1317997
2013,242,FJI,9417931.0,0.712,916352
2013,246,FIN,239836163.0,0.926,5438972
2013,251,FRA,382887874.0,0.888,65997932
2013,266,GAB,180645806.5,0.678,1913059
2013,268,GEO,164258445.0,0.784,3717668
2013,275,PSE,73314.0,0.704,4076708
2013,276,DEU,448015136.6,0.938,80645605
2013,288,GHA,176534323.0,0.587,27386193
2013,300,GRC,63819290.0,0.874,10965211
2013,320,GTM,511645168.0,0.623,15387337
2013,324,GIN,459219683.0,0.43,11191873
2013,328,GUY,133361485.0,0.674,750021
2013,344,HKG,36647857.0,0.928,7178900
2013,348,HUN,9911325.0,0.843,9872734
2013,352,ISL,88098.0,0.942,323764
2013,360,IDN,6544111736.0,0.687,255852467
2013,364,IRN,1748613857.0,0.78,80414686
2013,372,IRL,489645671.4,0.911,4623816
2013,376,ISR,3123000.0,0.896,8059500
2013,380,ITA,290079641.0,0.88,60311613
2013,384,CIV,20155497.43,0.48,23939775
2013,388,JAM,129395572.0,0.715,2783687
2013,392,JPN,136201078.0,0.909,127445000
2013,398,KAZ,2729550161.0,0.789,17556502
2013,400,JOR,345956.0,0.738,7991809
2013,404,KEN,4043268.0,0.562,44986791
2013,410,KOR,161401065.0,0.902,50428893
2013,414,KWT,151990.0,0.813,3507844
2013,417,KGZ,18488007.0,0.68,5777150
2013,418,LAO,695550490.0,0.587,6611385
2013,422,LBN,191537.0,0.756,5743436
2013,428,LVA,1505266.0,0.846,2012647
2013,440,LTU,1489410.0,0.858,2961250
2013,442,LUX,10509345.0,0.922,543360
2013,450,MDG,105484540.6,0.494,24109290
2013,454,MWI,135072905.4,0.484,16161816
2013,458,MYS,686230888.0,0.782,30174265
2013,470,MLT,33561.0,0.874,424810
2013,478,MRT,1572740056.0,0.53,3734318
2013,480,MUS,47750.0,0.779,1258927
2013,484,MEX,4011203340.0,0.761,118343573
2013,490,S19,152164842.0,,
2013,496,MNG,1761242556.0,0.73,2899011
2013,499,MNE,12617272.0,0.819,622587
2013,504,MAR,240260539.0,0.636,33787571
2013,508,MOZ,157885065.0,0.432,25051611
2013,512,OMN,1369713388.0,0.814,3833913
2013,516,NAM,968373269.0,0.61,2252508
2013,524,NPL,110802.0,0.563,27589996
2013,528,NLD,1158444581.0,0.929,16804432
2013,540,NCL,195341618.0,,276822
2013,554,NZL,79108980.38,0.93,4442100
2013,558,NIC,79252.0,0.631,5983845
2013,562,NER,659383108.0,0.358,18519898
2013,566,NGA,64228211.0,0.504,181049443
2013,579,NOR,478217586.0,0.945,5079623
2013,586,PAK,135510312.0,0.51,211073978
2013,591,PAN,48557.0,0.794,3825329
2013,600,PRY,45328.0,0.729,5982445
2013,604,PER,11516606290.0,0.749,29817919
2013,608,PHL,2324774440.0,0.689,102076336
2013,616,POL,59483109.0,0.865,38040196
2013,620,PRT,590922684.0,0.842,10457295
2013,634,QAT,5280962.502,0.852,1916426
2013,642,ROU,82314113.0,0.811,19983693
2013,643,RUS,3615686763.0,0.816,143805638
2013,646,RWA,222864093.5,0.502,11093340
2013,662,LCA,201.0,0.723,173369
2013,682,SAU,155889795.0,0.831,27624004
2013,686,SEN,202052.0,0.497,13710849
2013,688,SRB,115689323.0,0.785,7166553
2013,699,IND,2388949160.0,0.6,1295829511
2013,702,SGP,21566022.42,0.93,5399162
2013,703,SVK,46699376.76,0.849,5413393
2013,704,VNM,202098127.0,0.689,90573104
2013,705,SVN,11998524.0,0.901,2059953
2013,710,ZAF,13705623585.0,0.705,54678791
2013,716,ZWE,344776635.9,0.532,14013808
2013,724,ESP,2010111687.0,0.88,46604197
2013,729,SDN,8405796.0,0.503,37785849
2013,740,SUR,62802.0,0.7,569020
2013,748,SWZ,69948016.34,0.546,1129990
2013,752,SWE,3353490235.0,0.932,9600379
2013,757,CHE,15943331.59,0.947,8089346
2013,764,THA,82721379.0,0.754,69845114
2013,768,TGO,8409061.562,0.495,7285442
2013,780,TTO,297656465.2,0.801,1340557
2013,784,ARE,51158623.0,0.847,7693031
2013,788,TUN,3077955.0,0.719,11141361
