year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,56,BEL,2103910520.0,0.917,11159407
2013,60,BMU,4367.0,,63574
2013,68,BOL,60338049.59,0.681,10682608
2013,70,BIH,382128287.0,0.745,3610859
2013,76,BRA,2003440787.0,0.75,198478299
2013,84,BLZ,3064771.0,0.721,341627
2013,90,SLB,253960351.9,0.563,594945
2013,96,BRN,1345299.0,0.835,411202
2013,100,BGR,364403201.0,0.804,7160005
2013,104,MMR,685809215.0,0.538,50262658
2013,108,BDI,11696.0,0.416,10439341
2013,112,BLR,684923900.0,0.806,9443211
2013,116,KHM,62925584.0,0.554,15170208
2013,120,CMR,475615732.0,0.544,21402376
2013,72,BWA,3340311.369,0.676,2140682
2013,52,BRB,211770.0,0.793,277665
2013,51,ARM,674216.0,0.757,3022000
2013,50,BGD,1926634.0,0.577,156532141
2013,48,BHR,43399099.0,0.839,1253191
2013,44,BHS,257965.0,0.804,378953
2013,40,AUT,4953833076.0,0.907,8479823
2013,36,AUS,1014168934.0,0.929,23128129
2013,32,ARG,197533057.0,0.846,42582455
2013,31,AZE,1462485.0,0.745,9416801
2013,28,ATG,178657.0,0.812,88064
2013,24,AGO,1336889.0,0.555,26165620
2013,20,AND,1269283.182,0.851,75194
2013,12,DZA,43670.0,0.729,38414171
2013,8,ALB,16847668.0,0.793,2895092
2013,124,CAN,12337039133.0,0.923,35080992
2013,132,CPV,1012.86,0.664,512225
2013,140,CAF,19408232.0,0.352,4642419
2013,144,LKA,49430376.0,0.752,20585000
2013,152,CHL,2212367813.0,0.837,17687006
2013,156,CHN,12748096361.0,0.723,1363240000
2013,170,COL,42994438.0,0.75,46151584
2013,174,COM,797.859,0.546,696192
2013,178,COG,102642056.0,0.6,4857099
2013,188,CRI,65186229.0,0.787,4716147
2013,191,HRV,714179930.0,0.839,4233922
2013,196,CYP,697894.134,0.863,1183895
2013,203,CZE,2165874683.0,0.884,10514272
2013,204,BEN,17754799.0,0.503,10708834
2013,208,DNK,847143598.0,0.933,5614932
2013,212,DMA,2988.982,0.72,69715
2013,214,DOM,7107238.0,0.722,10193833
2013,218,ECU,231414174.0,0.755,15807128
2013,222,SLV,8729020.78,0.664,6138839
2013,231,ETH,1429938.484,0.437,98438751
2013,233,EST,1411959056.0,0.881,1317997
2013,242,FJI,32965379.0,0.712,916352
2013,246,FIN,3089184451.0,0.926,5438972
2013,251,FRA,2769405113.0,0.888,65997932
2013,258,PYF,291570.0,,274728
2013,266,GAB,260289656.7,0.678,1913059
2013,268,GEO,23275961.0,0.784,3717668
2013,270,GMB,554561.559,0.461,2103820
2013,275,PSE,28427812.0,0.704,4076708
2013,276,DEU,8764114134.0,0.938,80645605
2013,288,GHA,474031198.0,0.587,27386193
2013,300,GRC,81530224.0,0.874,10965211
2013,304,GRL,18185.17,,56483
2013,308,GRD,21657.015,0.783,113487
2013,320,GTM,65159062.0,0.623,15387337
2013,324,GIN,25953.0,0.43,11191873
2013,328,GUY,38501205.0,0.674,750021
2013,344,HKG,433847318.0,0.928,7178900
2013,348,HUN,782937528.0,0.843,9872734
2013,352,ISL,333171.0,0.942,323764
2013,360,IDN,3634924368.0,0.687,255852467
2013,364,IRN,23359550.33,0.78,80414686
2013,372,IRL,483247221.2,0.911,4623816
2013,376,ISR,7725000.0,0.896,8059500
2013,380,ITA,1967519779.0,0.88,60311613
2013,384,CIV,208839748.2,0.48,23939775
2013,388,JAM,2022782.0,0.715,2783687
2013,392,JPN,126104233.0,0.909,127445000
2013,398,KAZ,5816470.0,0.789,17556502
2013,400,JOR,44984066.0,0.738,7991809
2013,404,KEN,30672712.0,0.562,44986791
2013,410,KOR,93711825.0,0.902,50428893
2013,414,KWT,4930335.0,0.813,3507844
2013,417,KGZ,861372.0,0.68,5777150
2013,418,LAO,115758624.0,0.587,6611385
2013,422,LBN,20161807.0,0.756,5743436
2013,426,LSO,283270.092,0.494,2056504
2013,428,LVA,2119880229.0,0.846,2012647
2013,440,LTU,1056224611.0,0.858,2961250
2013,442,LUX,276222359.0,0.922,543360
2013,446,MAC,273720.126,,591900
2013,450,MDG,5650212.575,0.494,24109290
2013,454,MWI,21886694.92,0.484,16161816
2013,458,MYS,4357449212.0,0.782,30174265
2013,470,MLT,802737.0,0.874,424810
2013,480,MUS,1855928.0,0.779,1258927
2013,484,MEX,410924805.0,0.761,118343573
2013,490,S19,210002299.0,,
2013,496,MNG,346008.0,0.73,2899011
2013,498,MDA,8157876.0,0.726,2859558
2013,499,MNE,24379098.0,0.819,622587
2013,500,MSR,204.0,,
2013,504,MAR,15259847.0,0.636,33787571
2013,508,MOZ,50666975.0,0.432,25051611
2013,512,OMN,8898938.0,0.814,3833913
2013,516,NAM,31969801.0,0.61,2252508
2013,524,NPL,2719452.0,0.563,27589996
2013,528,NLD,1386505385.0,0.929,16804432
2013,533,ABW,87768.0,,105675
2013,540,NCL,444057.0,,276822
2013,554,NZL,3168298139.0,0.93,4442100
2013,558,NIC,13478297.0,0.631,5983845
2013,566,NGA,157367589.0,0.504,181049443
2013,579,NOR,550954965.0,0.945,5079623
2013,583,FSM,74060.0,0.642,108121
2013,586,PAK,52681053.0,0.51,211073978
2013,591,PAN,46220416.0,0.794,3825329
2013,600,PRY,83197026.0,0.729,5982445
2013,604,PER,153029286.6,0.749,29817919
2013,608,PHL,3229269967.0,0.689,102076336
2013,616,POL,3907591570.0,0.865,38040196
2013,620,PRT,908044868.0,0.842,10457295
2013,626,TLS,59371.0,0.64,1158695
2013,634,QAT,7435504.875,0.852,1916426
2013,642,ROU,2498576841.0,0.811,19983693
2013,643,RUS,7330192043.0,0.816,143805638
2013,646,RWA,201304.192,0.502,11093340
2013,659,KNA,2460.0,0.819,47069
2013,662,LCA,429034.0,0.723,173369
2013,670,VCT,38202.31,0.766,108135
2013,682,SAU,45341123.0,0.831,27624004
2013,686,SEN,6071096.0,0.497,13710849
2013,688,SRB,253351881.0,0.785,7166553
2013,690,SYC,10182.921,0.786,89949
2013,699,IND,351496784.0,0.6,1295829511
2013,702,SGP,113644118.1,0.93,5399162
2013,703,SVK,964856608.6,0.849,5413393
2013,704,VNM,2028550640.0,0.689,90573104
2013,705,SVN,821758493.0,0.901,2059953
2013,710,ZAF,451583628.8,0.705,54678791
2013,716,ZWE,27026368.57,0.532,14013808
2013,724,ESP,1530950257.0,0.88,46604197
2013,729,SDN,6024402.0,0.503,37785849
2013,740,SUR,20086142.0,0.7,569020
2013,748,SWZ,61950731.77,0.546,1129990
2013,752,SWE,4424493312.0,0.932,9600379
2013,757,CHE,629854335.5,0.947,8089346
2013,764,THA,2180401587.0,0.754,69845114
2013,768,TGO,856357.378,0.495,7285442
2013,776,TON,19188.0,0.719,107078
2013,780,TTO,5048679.478,0.801,1340557
2013,784,ARE,256966018.3,0.847,7693031
2013,788,TUN,19285700.0,0.719,11141361
2013,792,TUR,715622690.0,0.802,76147624
2013,800,UGA,12824278.0,0.511,35337042
2013,804,UKR,1143721756.0,0.774,46126770
2013,807,MKD,6228104.0,0.763,1922716
2013,818,EGY,37499711.0,0.684,95333553
2013,826,GBR,554685191.0,0.923,64139000
2013,834,TZA,32583106.0,0.504,48824128
2013,842,USA,8963663754.0,0.922,316726282
2013,854,BFA,410926.586,0.399,17695409
2013,858,URY,527160130.0,0.802,3345337
2013,862,VEN,8061181.0,0.771,29912198
2013,882,WSM,20043.0,0.704,198268
2013,887,YEM,55387.0,0.496,29312952
2013,894,ZMB,12210382.55,0.554,15398997
2014,8,ALB,17571611.0,0.797,2889104
2014,12,DZA,55608.0,0.732,39205031
2014,20,AND,961352.581,0.854,73737
2014,24,AGO,4952382.0,0.565,27160769
2014,28,ATG,175717.0,0.815,88765
2014,31,AZE,1410918.0,0.749,9535079
2014,32,ARG,186936588.7,0.847,43024071
2014,36,AUS,1228224772.0,0.931,23475686
2014,40,AUT,4889201434.0,0.911,8546356
2014,44,BHS,408140.0,0.807,382298
2014,48,BHR,20294216.0,0.839,1314562
2014,51,ARM,743377.0,0.764,3013800
2014,52,BRB,206699.0,0.795,278348
2014,56,BEL,2242910281.0,0.922,11209057
2014,60,BMU,1527.0,,63529
2014,68,BOL,59021384.6,0.683,10848888
2014,70,BIH,429726817.0,0.751,3564829
2014,72,BWA,2650385.223,0.683,2172044
2014,76,BRA,2241986724.0,0.753,200085127
2014,84,BLZ,3823194.0,0.716,348923
2014,90,SLB,273585002.5,0.562,616908
2014,96,BRN,3150687.0,0.834,416750
2014,100,BGR,420475708.0,0.807,7073572
2014,104,MMR,408742186.5,0.548,50681634
2014,108,BDI,13307.0,0.419,10799785
2014,112,BLR,790816500.0,0.81,9448515
2014,116,KHM,111550187.0,0.559,15396772
2014,120,CMR,525064112.0,0.553,22059893
2014,124,CAN,12631396759.0,0.925,35434066
2014,140,CAF,17648100.0,0.354,4623182
2014,144,LKA,50758534.0,0.757,20778000
2014,152,CHL,2502914292.0,0.841,17864195
2014,156,CHN,14469961385.0,0.732,1371860000
2014,170,COL,54450212.0,0.755,46565429
2014,174,COM,14894.667,0.551,711503
2014,178,COG,113636605.6,0.609,4975880
2014,188,CRI,72414881.0,0.79,4767119
2014,191,HRV,842518269.0,0.842,4201598
2014,196,CYP,923971.117,0.867,1201801
2014,203,CZE,2250852006.0,0.889,10525347
2014,204,BEN,12633975.0,0.506,11030004
2014,208,DNK,901753358.0,0.932,5643475
2014,214,DOM,11412577.86,0.728,10315528
2014,218,ECU,288443273.0,0.759,16035124
2014,222,SLV,9067782.15,0.663,6162955
2014,231,ETH,941639.126,0.445,101115610
2014,233,EST,1472076723.0,0.879,1314545
2014,242,FJI,53515559.0,0.715,917585
2014,246,FIN,3268635688.0,0.928,5461512
2014,251,FRA,2914943700.0,0.892,66312067
2014,258,PYF,221149.0,,276387
2014,266,GAB,318298479.0,0.687,1978399
2014,268,GEO,21788768.04,0.793,3719414
2014,270,GMB,7551948.342,0.462,2164528
2014,275,PSE,30087996.0,0.698,4173398
2014,276,DEU,9149940447.0,0.942,80982500
2014,288,GHA,329421111.0,0.582,28041592
