year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2013,784,ARE,0.847,28.52,28.52,0.847,0.0474034825998611,0.7641723356009071,1
2014,784,ARE,0.853,28.77,28.77,0.853,0.04804650325368451,0.7777777777777779,1
2015,784,ARE,0.86,60.82,60.82,0.86,0.1304817510738445,0.7936507936507939,1
2016,784,ARE,0.866,57.69,57.69,0.866,0.12243113248797552,0.8072562358276647,1
2017,784,ARE,0.898,36.53,36.53,0.898,0.06800586434836287,0.8798185941043088,1
2018,784,ARE,0.917,36.81,36.81,0.917,0.06872604748064508,0.9229024943310662,1
2019,784,ARE,0.933,17.7,17.7,0.933,0.019573548702384317,0.9591836734693879,1
2020,784,ARE,0.93,14.36,14.36,0.93,0.010982792767303688,0.9523809523809528,1
2013,32,ARG,0.846,195.2,195.2,0.846,0.4761182129169989,0.7619047619047621,0
2014,32,ARG,0.847,121.73,121.73,0.847,0.2871473031713779,0.7641723356009071,0
2015,32,ARG,0.85,111.37,111.37,0.85,0.2605005272769361,0.7709750566893425,1
2016,32,ARG,0.848,158.9,158.9,0.848,0.3827516139818411,0.7664399092970524,0
2017,32,ARG,0.853,157.29,157.29,0.853,0.37861056097121837,0.7777777777777779,0
2018,32,ARG,0.852,168.81,168.81,0.852,0.4082409526994007,0.7755102040816328,0
2019,32,ARG,0.853,207.11,207.11,0.853,0.5067517168651458,0.7777777777777779,0
2020,32,ARG,0.841,198.49,198.49,0.841,0.4845803647213149,0.7505668934240364,0
2013,36,AUS,0.929,347.97,347.97,0.929,0.8690552740554028,0.9501133786848077,0
2014,36,AUS,0.931,316.4,316.4,0.931,0.7878546258905836,0.9546485260770978,0
2015,36,AUS,0.933,269.89,269.89,0.933,0.6682270634532781,0.9591836734693879,0
2016,36,AUS,0.936,210.73,210.73,0.936,0.5160626559325086,0.9659863945578235,0
2017,36,AUS,0.937,266.26,266.26,0.937,0.6588904035597624,0.9682539682539686,0
2018,36,AUS,0.941,192.84,192.84,0.941,0.470048097944906,0.9773242630385488,0
2019,36,AUS,0.941,134.41,134.41,0.941,0.3197613107333007,0.9773242630385488,1
2020,36,AUS,0.948,146.27,146.27,0.948,0.3502662105506829,0.9931972789115646,1
2013,40,AUT,0.907,60.46,60.46,0.907,0.1295558013323388,0.9002267573696148,1
2014,40,AUT,0.911,63.27,63.27,0.911,0.13678335348131382,0.9092970521541954,1
