year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2013,36,AUS,0.929,259.23,259.23,0.929,0.060407626859415184,1.8655462184873954,0
2013,56,BEL,0.917,304.47,304.47,0.917,0.08603441829902457,1.764705882352942,0
2013,233,EST,0.881,160.38,160.38,0.881,0.004412747685998156,1.46218487394958,2
2013,372,IRL,0.911,184.1,184.1,0.911,0.017849252835147905,1.7142857142857144,0
2013,388,JAM,0.715,192.72,192.72,0.715,0.02273216490874279,0.06722689075630228,1
2013,398,KAZ,0.789,178.23,178.23,0.789,0.014524114334915642,0.6890756302521011,3
2013,528,NLD,0.929,266.75,266.75,0.929,0.06466742950366501,1.8655462184873954,0
2013,634,QAT,0.852,333.01,333.01,0.852,0.10220127567494079,1.2184873949579833,2
2013,780,TTO,0.801,1917.93,1917.93,0.801,1.0,0.7899159663865554,4
2014,36,AUS,0.931,248.09,248.09,0.931,0.054097227729502526,1.882352941176471,0
2014,56,BEL,0.922,286.27,286.27,0.922,0.0757247895589518,1.806722689075631,0
2014,372,IRL,0.918,176.27,176.27,0.918,0.013413846624446293,1.7731092436974798,0
2014,388,JAM,0.714,193.38,193.38,0.714,0.023106030566349814,0.0588235294117645,1
2014,398,KAZ,0.794,159.36,159.36,0.794,0.0038349553060600255,0.73109243697479,3
2014,528,NLD,0.931,258.07,258.07,0.931,0.05975052964301493,1.882352941176471,0
2014,634,QAT,0.85,454.7,454.7,0.85,0.1711341724540315,1.2016806722689077,2
2014,780,TTO,0.806,1372.89,1372.89,0.806,0.691254942390701,0.8319327731092443,4
2015,36,AUS,0.933,230.11,230.11,0.933,0.04391222087529882,1.8991596638655466,0
2015,56,BEL,0.924,235.39,235.39,0.924,0.04690314613615505,1.8235294117647065,0
2015,372,IRL,0.924,162.2,162.2,0.924,0.005443710560005435,1.8235294117647065,0
2015,388,JAM,0.712,198.19,198.19,0.712,0.025830718161940477,0.042016806722688926,1
2015,398,KAZ,0.799,171.74,171.74,0.799,0.010847768701779836,0.7731092436974798,3
2015,528,NLD,0.932,235.79,235.79,0.932,0.04712973138318964,1.8907563025210088,0
2015,634,QAT,0.852,399.55,399.55,0.852,0.1398937315191408,1.2184873949579833,2
2015,780,TTO,0.812,1222.18,1222.18,0.812,0.6058832859392526,0.882352941176471,4
2016,36,AUS,0.936,189.85,189.85,0.936,0.021106415761269773,1.92436974789916,0
2016,56,BEL,0.927,194.06,194.06,0.927,0.02349122548630858,1.8487394957983199,0
2016,388,JAM,0.71,163.12,163.12,0.71,0.005964856628184939,0.025210084033613356,1
2016,528,NLD,0.933,206.81,206.81,0.933,0.03071363023553536,1.8991596638655466,0
2016,634,QAT,0.853,277.95,277.95,0.853,0.07101181642063285,1.226890756302521,2
2016,780,TTO,0.81,1229.19,1229.19,0.81,0.6098541923935332,0.8655462184873954,4
2017,36,AUS,0.937,250.35,250.35,0.937,0.05537743437524782,1.9327731092436977,0
2017,56,BEL,0.931,246.06,246.06,0.931,0.052947307600802115,1.882352941176471,0
2017,246,FIN,0.934,152.59,152.59,0.934,0.0,1.9075630252100844,0
2017,372,IRL,0.934,165.52,165.52,0.934,0.007324368110392332,1.9075630252100844,0
2017,388,JAM,0.711,184.02,184.02,0.711,0.017803935785740993,0.03361344537815114,1
2017,528,NLD,0.936,226.95,226.95,0.936,0.042122197423725735,1.92436974789916,0
2017,634,QAT,0.862,263.92,263.92,0.862,0.06306433888089548,1.3025210084033612,2
2017,780,TTO,0.811,750.49,750.49,0.811,0.3386882980049169,0.8739495798319332,3
2018,36,AUS,0.941,328.34,328.34,0.941,0.09955589291581222,1.966386554621848,0
2018,56,BEL,0.933,295.93,295.93,0.933,0.08119682327483659,1.8991596638655466,0
2018,246,FIN,0.936,192.37,192.37,0.936,0.022533902817587548,1.92436974789916,0
2018,372,IRL,0.938,203.7,203.7,0.938,0.02895192993984161,1.9411764705882346,0
2018,388,JAM,0.711,403.22,403.22,0.711,0.14197265116068292,0.03361344537815114,1
2018,528,NLD,0.939,264.51,264.51,0.939,0.06339855212027144,1.9495798319327724,0
2018,634,QAT,0.866,412.97,412.97,0.866,0.14749566655715046,1.3361344537815123,2
2018,780,TTO,0.809,783.57,783.57,0.809,0.3574268979346755,0.8571428571428577,3
2019,36,AUS,0.941,247.16,247.16,0.941,0.05357041703014716,1.966386554621848,0
2019,56,BEL,0.936,255.89,255.89,0.936,0.058515640046676545,1.92436974789916,0
2019,372,IRL,0.942,187.2,187.2,0.942,0.01960528849966578,1.9747899159663866,0
2019,388,JAM,0.712,253.27,253.27,0.712,0.05703150667860017,0.042016806722688926,1
2019,528,NLD,0.941,272.46,272.46,0.941,0.06790193390508344,1.966386554621848,0
2019,634,QAT,0.869,243.54,243.54,0.869,0.051519820544484354,1.3613445378151257,2
2019,780,TTO,0.813,658.54,658.54,0.813,0.2866020143428461,0.8907563025210079,3
2020,56,BEL,0.93,245.73,245.73,0.93,0.05276037477199859,1.8739495798319332,0
2020,372,IRL,0.945,168.79,168.79,0.945,0.009176702504899895,2.0,0
2020,388,JAM,0.707,155.28,155.28,0.707,0.0015237857863074494,0.0,1
2020,528,NLD,0.938,240.66,240.66,0.938,0.04988840676583546,1.9411764705882346,0
2020,634,QAT,0.863,261.14,261.14,0.863,0.061489571414005226,1.310924369747899,2
2020,780,TTO,0.815,491.81,491.81,0.815,0.19215561874766335,0.9075630252100835,3
