year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2013,96,BRN,0.835,26870.93,26870.93,0.835,0.8684946176997359,2.058823529411764,1
2013,112,BLR,0.806,1275.36,1275.36,0.806,0.009220997433482883,1.8455882352941178,4
2013,124,CAN,0.923,3420.66,3420.66,0.923,0.08124126100085773,2.7058823529411775,0
2013,178,COG,0.6,1629.37,1629.37,0.6,0.021105532699173632,0.33088235294117596,3
2013,208,DNK,0.933,1866.8,1866.8,0.933,0.029076339196540818,2.779411764705883,0
2013,56,BEL,0.917,3797.34,3797.34,0.917,0.09388685503458671,2.661764705882353,0
2013,48,BHR,0.839,8121.1,8121.1,0.839,0.23904060266991634,2.0882352941176463,4
2013,36,AUS,0.929,2820.01,2820.01,0.929,0.06107672862228891,2.750000000000001,0
2013,31,AZE,0.745,2360.66,2360.66,0.745,0.045655804709701556,1.3970588235294115,2
2013,24,AGO,0.555,2541.71,2541.71,0.555,0.0517338677866014,0.0,3
2013,12,DZA,0.729,1689.54,1689.54,0.729,0.023125510911474453,1.2794117647058818,2
2013,233,EST,0.881,1430.48,1430.48,0.881,0.01442855967865661,2.3970588235294126,0
2013,246,FIN,0.926,1672.05,1672.05,0.926,0.02253835088267038,2.727941176470589,0
2013,266,GAB,0.678,4483.35,4483.35,0.678,0.11691702378014901,0.9044117647058825,2
2013,300,GRC,0.874,1318.8,1318.8,0.874,0.010679329717716679,2.3455882352941173,0
2013,368,IRQ,0.648,2538.39,2538.39,0.648,0.05162241145180267,0.6838235294117643,3
2013,398,KAZ,0.789,3680.76,3680.76,0.789,0.08997312626626314,1.7205882352941182,4
2013,410,KOR,0.902,1073.05,1073.05,0.902,0.0024292109596491043,2.5514705882352944,0
2013,414,KWT,0.813,30788.14,30788.14,0.813,0.9999999999999999,1.8970588235294117,1
2013,440,LTU,0.858,2538.14,2538.14,0.858,0.05161401865550759,2.2279411764705883,4
2013,458,MYS,0.782,1685.86,1685.86,0.782,0.023001968950010818,1.6691176470588236,4
2013,470,MLT,0.874,5201.46,5201.46,0.874,0.1410248275700001,2.3455882352941173,0
2013,512,OMN,0.814,10820.48,10820.48,0.814,0.32966198852201173,1.9044117647058822,4
2013,528,NLD,0.929,6783.92,6783.92,0.929,0.19414988527047464,2.750000000000001,0
2013,579,NOR,0.945,20670.83,20670.83,0.945,0.6603499124631347,2.86764705882353,0
2013,643,RUS,0.816,2586.82,2586.82,0.816,0.05324826395008636,1.9191176470588234,4
2013,682,SAU,0.831,11656.53,11656.53,0.831,0.3577291778920317,2.029411764705882,1
2013,690,SYC,0.786,4575.76,4575.76,0.786,0.12001933700266387,1.6985294117647058,4
2013,702,SGP,0.93,13225.15,13225.15,0.93,0.41038961038961036,2.7573529411764715,0
2013,752,SWE,0.932,1369.37,1369.37,0.932,0.012377024552286273,2.7720588235294126,0
2013,780,TTO,0.801,8291.48,8291.48,0.801,0.24476046120094197,1.808823529411765,4
2013,784,ARE,0.847,17028.4,17028.4,0.847,0.5380692204267233,2.147058823529412,1
2013,862,VEN,0.771,2872.36,2872.36,0.771,0.0628341801664795,1.5882352941176474,2
2014,12,DZA,0.732,1497.61,1497.61,0.732,0.016682193339812565,1.3014705882352942,2
2014,24,AGO,0.565,2110.99,2110.99,0.565,0.03727408690572706,0.07352941176470495,3
2014,31,AZE,0.749,2116.1,2116.1,0.749,0.037445635661998586,1.4264705882352937,2
2014,36,AUS,0.931,2724.36,2724.36,0.931,0.05786564475978977,2.764705882352942,0
2014,48,BHR,0.839,11394.55,11394.55,0.839,0.34893419879848725,2.0882352941176463,1
2014,56,BEL,0.922,3251.13,3251.13,0.922,0.07554993797723537,2.698529411764707,0
2014,96,BRN,0.834,23335.0,23335.0,0.834,0.7497892568850304,2.0514705882352935,1
2014,112,BLR,0.81,1278.94,1278.94,0.81,0.009341182276428495,1.8750000000000007,4
2014,124,CAN,0.925,3640.56,3640.56,0.925,0.08862356462201362,2.7205882352941186,0
2014,208,DNK,0.932,1441.96,1441.96,0.932,0.014813956884526872,2.7720588235294126,0
2014,233,EST,0.879,1478.64,1478.64,0.879,0.016045347956941597,2.38235294117647,0
2014,246,FIN,0.928,1466.01,1466.01,0.928,0.015621343888113946,2.7426470588235303,0
2014,266,GAB,0.687,4033.12,4033.12,0.687,0.10180226907640633,0.9705882352941175,2
2014,300,GRC,0.879,1262.15,1262.15,0.879,0.008777522077250653,2.38235294117647,0
2014,368,IRQ,0.651,2309.43,2309.43,0.651,0.04393595289291294,0.7058823529411766,3
2014,398,KAZ,0.794,3407.03,3407.03,0.794,0.08078368574684976,1.757352941176471,4
2014,410,KOR,0.906,1037.92,1037.92,0.906,0.0012498552242639072,2.5808823529411766,0
2014,414,KWT,0.816,25785.54,25785.54,0.816,0.832056789016851,1.9191176470588234,1
2014,440,LTU,0.864,1938.57,1938.57,0.864,0.03148574315693353,2.2720588235294117,4
2014,458,MYS,0.787,1685.26,1685.26,0.787,0.022981826238902617,1.7058823529411764,4
2014,470,MLT,0.881,4935.68,4935.68,0.881,0.1321022779727704,2.3970588235294126,0
2014,512,OMN,0.818,9632.86,9632.86,0.818,0.28979217757814113,1.9338235294117645,4
2014,528,NLD,0.931,5773.61,5773.61,0.931,0.16023258117092934,2.764705882352942,0
2014,579,NOR,0.949,18262.96,18262.96,0.949,0.5795148628029589,2.897058823529412,0
2014,643,RUS,0.818,2398.83,2398.83,0.818,0.04693721684803498,1.9338235294117645,4
2014,682,SAU,0.836,10067.37,10067.37,0.836,0.30437919325084895,2.0661764705882346,4
2014,690,SYC,0.796,6243.45,6243.45,0.796,0.17600566681605842,1.7720588235294121,4
2014,702,SGP,0.932,12558.12,12558.12,0.932,0.38799662273877084,2.7720588235294126,0
2014,752,SWE,0.935,1372.65,1372.65,0.935,0.012487138039677784,2.7941176470588243,0
2014,780,TTO,0.806,6012.89,6012.89,0.806,0.16826549436088017,1.8455882352941178,4
2014,784,ARE,0.853,12780.04,12780.04,0.853,0.395446740153991,2.1911764705882355,1
2015,24,AGO,0.591,1132.72,1132.72,0.591,0.004432403579359763,0.26470588235294024,3
2015,31,AZE,0.751,1159.37,1159.37,0.751,0.0053270756644157105,1.4411764705882355,2
2015,36,AUS,0.933,1994.22,1994.22,0.933,0.03335397961221924,2.779411764705883,0
2015,48,BHR,0.859,3772.65,3772.65,0.859,0.0930579824724842,2.235294117647059,4
2015,56,BEL,0.924,1976.7,1976.7,0.924,0.03276581244785974,2.713235294117648,0
2015,96,BRN,0.832,13989.83,13989.83,0.832,0.4360608242733097,2.0367647058823524,1
2015,124,CAN,0.927,2173.01,2173.01,0.927,0.03935617181061152,2.7352941176470598,0
2015,233,EST,0.883,1169.76,1169.76,0.883,0.005675880278439405,2.4117647058823537,0
2015,266,GAB,0.692,2189.95,2189.95,0.692,0.039924867687566395,1.0073529411764697,2
2015,368,IRQ,0.656,1312.48,1312.48,0.656,0.010467159827376962,0.7426470588235294,3
2015,398,KAZ,0.799,1720.82,1720.82,0.799,0.024175617583915364,1.7941176470588238,4
2015,414,KWT,0.829,12643.81,12643.81,0.829,0.3908733375968738,2.0147058823529407,1
2015,440,LTU,0.865,1426.0,1426.0,0.865,0.014278160769048705,2.2794117647058822,4
2015,458,MYS,0.792,1055.82,1055.82,0.792,0.001850779438991916,1.7426470588235299,4
2015,470,MLT,0.887,3389.0,3389.0,0.887,0.08017839727804829,2.441176470588236,0
2015,512,OMN,0.824,5628.32,5628.32,0.824,0.1553550236760783,1.9779411764705879,4
2015,528,NLD,0.932,3729.07,3729.07,0.932,0.09159495022232517,2.7720588235294126,0
2015,579,NOR,0.952,11538.83,11538.83,0.952,0.35377784939630613,2.919117647058824,0
2015,634,QAT,0.852,27507.31,27507.31,0.852,0.8898586485247981,2.183823529411765,1
2015,643,RUS,0.823,1493.36,1493.36,0.823,0.016539515802796133,1.9705882352941173,4
2015,682,SAU,0.842,5131.41,5131.41,0.842,0.13867316604811755,2.1102941176470593,4
2015,690,SYC,0.797,1508.18,1508.18,0.797,0.01703704076716872,1.7794117647058827,4
2015,702,SGP,0.935,7885.56,7885.56,0.935,0.23113324571254001,2.7941176470588243,0
2015,780,TTO,0.812,3533.01,3533.01,0.812,0.08501298365586848,1.8897058823529418,4
2015,784,ARE,0.86,7348.83,7348.83,0.86,0.21311458349069826,2.2426470588235294,4
2016,31,AZE,0.752,1257.47,1257.47,0.752,0.008620408930606678,1.448529411764706,2
2016,36,AUS,0.936,2006.54,2006.54,0.936,0.033767576613640965,2.801470588235295,0
2016,48,BHR,0.862,2732.99,2732.99,0.862,0.058155364087896066,2.2573529411764706,4
2016,56,BEL,0.927,1540.35,1540.35,0.927,0.018117025794420122,2.7352941176470598,0
2016,96,BRN,0.83,10020.23,10020.23,0.83,0.30279664758144786,2.0220588235294112,4
2016,124,CAN,0.928,1724.62,1724.62,0.928,0.02430318808760064,2.7426470588235303,0
2016,266,GAB,0.696,1397.37,1397.37,0.696,0.013317017737335679,1.0367647058823526,2
2016,368,IRQ,0.661,1137.73,1137.73,0.661,0.004600595217113243,0.7794117647058822,3
2016,398,KAZ,0.797,1216.26,1216.26,0.797,0.007236940389325028,1.7794117647058827,4
2016,414,KWT,0.832,10352.23,10352.23,0.832,0.3139422810613194,2.0367647058823524,4
2016,434,LBY,0.746,2703.7,2703.7,0.746,0.057172064073964024,1.404411764705882,2
2016,440,LTU,0.87,1200.56,1200.56,0.87,0.006709872781993753,2.316176470588235,4
2016,470,MLT,0.887,2254.17,2254.17,0.887,0.04208080919984758,2.441176470588236,0
2016,512,OMN,0.832,5230.18,5230.18,0.832,0.14198899200837936,2.0367647058823524,4
2016,528,NLD,0.933,3310.89,3310.89,0.933,0.07755615200361224,2.779411764705883,0
2016,579,NOR,0.956,9070.41,9070.41,0.956,0.2709100644734611,2.948529411764706,0
2016,634,QAT,0.853,18868.44,18868.44,0.853,0.5998415440059487,2.1911764705882355,1
2016,643,RUS,0.826,1006.79,1006.79,0.826,0.00020478422960004683,1.992647058823529,4
2016,682,SAU,0.846,4393.59,4393.59,0.846,0.11390367419836206,2.1397058823529416,4
2016,690,SYC,0.798,1337.5,1337.5,0.798,0.011307110880588965,1.7867647058823533,4
2016,702,SGP,0.937,6676.66,6676.66,0.937,0.1905490399480318,2.8088235294117654,0
2016,780,TTO,0.81,1875.05,1875.05,0.81,0.029353301474278587,1.8750000000000007,4
2016,784,ARE,0.866,5322.15,5322.15,0.866,0.14507653390941486,2.286764705882353,4
2017,24,AGO,0.597,1093.17,1093.17,0.597,0.003104663205477469,0.3088235294117643,3
2017,31,AZE,0.754,1407.26,1407.26,0.754,0.01364903675876921,1.4632352941176472,2
2017,36,AUS,0.937,2841.92,2841.92,0.937,0.061812273289590075,2.8088235294117654,0
2017,48,BHR,0.867,3708.62,3708.62,0.867,0.09090841948538729,2.2941176470588234,4
2017,56,BEL,0.931,1890.5,1890.5,0.931,0.02987197628531478,2.764705882352942,0
2017,96,BRN,0.829,11528.97,11528.97,0.829,0.353446837510428,2.0147058823529407,1
2017,124,CAN,0.929,2314.54,2314.54,0.929,0.044107501649184463,2.750000000000001,0
2017,233,EST,0.886,1163.96,1163.96,0.886,0.005481167404393458,2.4338235294117654,0
2017,266,GAB,0.699,1666.76,1666.76,0.699,0.0223607593130664,1.0588235294117643,2
2017,398,KAZ,0.802,1646.76,1646.76,0.802,0.02168933560945968,1.8161764705882355,4
2017,414,KWT,0.835,11932.87,11932.87,0.835,0.36700623920476577,2.058823529411764,1
2017,434,LBY,0.761,2660.91,2660.91,0.761,0.05573555306009745,1.5147058823529411,2
2017,440,LTU,0.878,1528.46,1528.46,0.878,0.017717864402625932,2.3749999999999996,0
2017,458,MYS,0.8,1037.55,1037.55,0.8,0.00123743388574718,1.8014705882352944,4
2017,470,MLT,0.896,3299.09,3299.09,0.896,0.07716001201848428,2.507352941176471,0
2017,512,OMN,0.833,4843.72,4843.72,0.833,0.1290150717835867,2.044117647058823,4
2017,528,NLD,0.936,4038.49,4038.49,0.936,0.10198254634082474,2.801470588235295,0
2017,579,NOR,0.959,11051.02,11051.02,0.959,0.3374014895534864,2.9705882352941178,0
2017,634,QAT,0.862,22320.92,22320.92,0.862,0.7157453894173552,2.2573529411764706,1
2017,643,RUS,0.827,1280.17,1280.17,0.827,0.009382474834200308,1.9999999999999996,4
2017,682,SAU,0.849,5487.88,5487.88,0.849,0.15064028642935196,2.1617647058823533,4
2017,690,SYC,0.798,1586.69,1586.69,0.798,0.019672714515676898,1.7867647058823533,4
2017,702,SGP,0.938,8518.28,8518.28,0.938,0.25237440599984223,2.8161764705882346,0
2017,780,TTO,0.811,3041.84,3041.84,0.811,0.06852382463084285,1.8823529411764712,4
2017,784,ARE,0.898,6840.62,6840.62,0.898,0.1960533714701997,2.522058823529412,0
2018,24,AGO,0.598,1243.08,1243.08,0.598,0.00813731957586164,0.31617647058823484,3
2018,31,AZE,0.757,1798.69,1798.69,0.757,0.026789805773908132,1.4852941176470589,2
2018,36,AUS,0.941,3652.24,3652.24,0.941,0.08901567606491995,2.8382352941176463,0
2018,48,BHR,0.88,4607.05,4607.05,0.88,0.1210697793869566,2.389705882352942,0
2018,56,BEL,0.933,2426.37,2426.37,0.933,0.04786176728790144,2.779411764705883,0
2018,96,BRN,0.826,13663.28,13663.28,0.826,0.425098153752671,1.992647058823529,1
2018,124,CAN,0.93,2688.99,2688.99,0.93,0.05667823193996127,2.7573529411764715,0
2018,178,COG,0.603,1672.66,1672.66,0.603,0.022558829305630385,0.35294117647058765,3
2018,233,EST,0.89,1987.52,1987.52,0.89,0.03312905267151098,2.4632352941176476,0
2018,246,FIN,0.936,1157.01,1157.01,0.936,0.005247847667390122,2.801470588235295,0
2018,266,GAB,0.699,2074.18,2074.18,0.699,0.0360383315792389,1.0588235294117643,2
2018,300,GRC,0.886,1263.05,1263.05,0.886,0.008807736143912948,2.4338235294117654,0
2018,398,KAZ,0.804,2260.45,2260.45,0.804,0.04229163624278008,1.8308823529411766,4
2018,414,KWT,0.836,15124.58,15124.58,0.836,0.47415572665669603,2.0661764705882346,1
2018,434,LBY,0.764,4184.23,4184.23,0.764,0.10687521086900689,1.5367647058823528,2
2018,440,LTU,0.882,1728.25,1728.25,0.882,0.024425051489805262,2.404411764705883,0
2018,458,MYS,0.802,1184.71,1184.71,0.802,0.006177769496885428,1.8161764705882355,4
2018,470,MLT,0.903,2478.34,2478.34,0.903,0.04960646178172351,2.558823529411765,0
2018,496,MNG,0.754,1000.69,1000.69,0.754,0.0,1.4632352941176472,2
2018,512,OMN,0.838,6299.13,6299.13,0.838,0.17787491040689954,2.0808823529411757,4
2018,528,NLD,0.939,4721.75,4721.75,0.939,0.12492039432714111,2.823529411764705,0
2018,579,NOR,0.96,14389.63,14389.63,0.96,0.449482584108408,2.9779411764705883,0
2018,634,QAT,0.866,28336.14,28336.14,0.866,0.917683453937816,2.286764705882353,1
2018,643,RUS,0.836,1636.89,1636.89,0.836,0.02135798801172977,2.0661764705882346,4
2018,682,SAU,0.856,7683.07,7683.07,0.856,0.22433541642537375,2.213235294117647,4
2018,690,SYC,0.804,1671.5,1671.5,0.804,0.022519886730821198,1.8308823529411766,4
2018,702,SGP,0.942,9581.46,9581.46,0.942,0.2880666186598718,2.845588235294117,0
2018,752,SWE,0.943,1212.7,1212.7,0.943,0.007117426970083038,2.8529411764705888,0
2018,780,TTO,0.809,3673.18,3673.18,0.809,0.08971865668259618,1.86764705882353,4
2018,784,ARE,0.917,13052.73,13052.73,0.917,0.4046012666408168,2.661764705882353,0
2019,24,AGO,0.597,1031.26,1031.26,0.597,0.0010262711309628678,0.3088235294117643,3
2019,31,AZE,0.762,1775.71,1775.71,0.762,0.02601833993846401,1.5220588235294117,2
2019,36,AUS,0.941,3461.43,3461.43,0.941,0.08260995822066003,2.8382352941176463,0
2019,48,BHR,0.888,4024.82,4024.82,0.888,0.10152362823940955,2.4485294117647065,0
2019,56,BEL,0.936,2003.27,2003.27,0.936,0.03365779883810127,2.801470588235295,0
2019,96,BRN,0.827,14484.66,14484.66,0.827,0.45267285383609535,1.9999999999999996,1
