year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2013,76,BRA,0.75,176.76,176.76,0.75,0.02234757954918225,0.5263157894736843,3
2013,100,BGR,0.804,103.58,103.58,0.804,0.0009138197666244928,0.6555023923444978,3
2013,124,CAN,0.923,240.36,240.36,0.923,0.040975444022681495,0.9401913875598089,6
2013,152,CHL,0.837,1099.19,1099.19,0.837,0.29251897933361454,0.7344497607655505,1
2013,68,BOL,0.681,180.16,180.16,0.681,0.02334340878204227,0.36124401913875626,0
2013,51,ARM,0.757,100.46,100.46,0.757,0.0,0.5430622009569379,3
2013,48,BHR,0.839,489.13,489.13,0.839,0.11383792586344255,0.7392344497607655,1
2013,36,AUS,0.929,3502.9,3502.9,0.929,0.9965438867800741,0.9545454545454548,2
2013,328,GUY,0.674,177.81,177.81,0.674,0.022655115047565493,0.34449760765550264,0
2013,372,IRL,0.911,105.9,105.9,0.911,0.0015933267725760404,0.9114832535885171,6
2013,398,KAZ,0.789,155.47,155.47,0.789,0.016111931205773467,0.6196172248803831,3
2013,418,LAO,0.587,105.2,105.2,0.587,0.0013883031069872112,0.13636363636363624,4
2013,478,MRT,0.53,421.16,421.16,0.53,0.09393012793476735,0.0,4
2013,496,MNG,0.73,607.53,607.53,0.73,0.14851621444303859,0.47846889952153115,0
2013,512,OMN,0.814,357.26,357.26,0.814,0.07521439617601576,0.6794258373205742,3
2013,516,NAM,0.61,429.91,429.91,0.61,0.0964929237546277,0.19138755980861233,4
2013,604,PER,0.749,386.23,386.23,0.749,0.08369944702188482,0.5239234449760766,3
2013,710,ZAF,0.705,250.66,250.66,0.705,0.04399222081634567,0.4186602870813396,0
2013,752,SWE,0.932,349.31,349.31,0.932,0.07288591311682835,0.961722488038278,6
2013,780,TTO,0.801,222.04,222.04,0.801,0.03560968180327101,0.6483253588516749,3
2014,36,AUS,0.931,3125.05,3125.05,0.931,0.8858750410047332,0.9593301435406703,2
2014,48,BHR,0.839,455.14,455.14,0.839,0.10388256244435073,0.7392344497607655,1
2014,68,BOL,0.683,183.68,183.68,0.683,0.024374384929003238,0.3660287081339715,0
2014,76,BRA,0.753,141.95,141.95,0.753,0.012152045550400673,0.5334928229665072,3
2014,124,CAN,0.925,242.83,242.83,0.925,0.041698884671259207,0.9449760765550244,6
2014,152,CHL,0.841,1043.81,1043.81,0.841,0.2762986784760298,0.7440191387559809,1
2014,328,GUY,0.682,163.66,163.66,0.682,0.01851070809316276,0.36363636363636376,0
2014,372,IRL,0.918,102.38,102.38,0.918,0.0005623506256150733,0.9282296650717707,6
2014,398,KAZ,0.794,146.13,146.13,0.794,0.013376329724916824,0.6315789473684212,3
2014,478,MRT,0.532,278.23,278.23,0.532,0.05206722433103708,0.004784688995215447,4
2014,496,MNG,0.735,1087.7,1087.7,0.735,0.28915366230844936,0.49043062200956933,3
2014,512,OMN,0.818,177.17,177.17,0.818,0.022467664839027134,0.6889952153110048,3
2014,516,NAM,0.619,322.01,322.01,0.619,0.06488999015886406,0.2129186602870814,4
2014,604,PER,0.754,350.83,350.83,0.754,0.07333110736210695,0.535885167464115,3
2014,710,ZAF,0.714,212.94,212.94,0.714,0.032944374150616254,0.4401913875598087,0
2014,752,SWE,0.935,344.95,344.95,0.935,0.0716089085711608,0.9688995215311007,6
2015,36,AUS,0.933,2008.84,2008.84,0.933,0.5589472327662965,0.9641148325358853,5
2015,48,BHR,0.859,288.44,288.44,0.859,0.05505764093912556,0.7870813397129186,1
2015,51,ARM,0.769,121.94,121.94,0.769,0.006291297624068607,0.5717703349282297,3
2015,68,BOL,0.688,153.04,153.04,0.688,0.015400206195229391,0.37799043062200943,0
2015,124,CAN,0.927,184.91,184.91,0.927,0.024734640798537894,0.9497607655502394,6
2015,152,CHL,0.846,826.31,826.31,0.846,0.21259489666807255,0.7559808612440191,1
2015,328,GUY,0.686,136.49,136.49,0.686,0.010552860958807826,0.37320574162679443,0
2015,478,MRT,0.536,187.66,187.66,0.536,0.025540090913351143,0.014354066985645897,4
2015,496,MNG,0.739,879.57,879.57,0.739,0.228194268709874,0.5,3
2015,516,NAM,0.627,187.72,187.72,0.627,0.025557664370401616,0.23205741626794252,4
2015,604,PER,0.758,327.07,327.07,0.758,0.06637201837012044,0.5454545454545456,3
2015,710,ZAF,0.721,148.12,148.12,0.721,0.01395918271709078,0.4569377990430623,0
2015,740,SUR,0.707,763.94,763.94,0.707,0.194327288064108,0.42344497607655507,0
2015,752,SWE,0.937,209.11,209.11,0.937,0.03182260180889453,0.9736842105263162,6
2015,780,TTO,0.812,207.63,207.63,0.812,0.03138912320164956,0.6746411483253592,3
2016,36,AUS,0.936,2034.96,2034.96,0.936,0.5665975444022683,0.9712918660287084,5
2016,48,BHR,0.862,548.89,548.89,0.862,0.13134108908571163,0.7942583732057418,1
2016,51,ARM,0.773,138.01,138.01,0.773,0.010998055204086418,0.5813397129186604,3
2016,68,BOL,0.7,165.99,165.99,0.7,0.01919314400862272,0.40669856459330145,0
2016,124,CAN,0.928,169.83,169.83,0.928,0.02031784525985286,0.9521531100478471,6
2016,152,CHL,0.851,798.66,798.66,0.851,0.20449646187731385,0.7679425837320577,1
2016,328,GUY,0.693,141.71,141.71,0.693,0.012081751722198799,0.38995215311004783,0
2016,418,LAO,0.61,108.7,108.7,0.61,0.0024134214349313503,0.19138755980861233,4
2016,478,MRT,0.532,167.96,167.96,0.532,0.019770139181779844,0.004784688995215447,4
2016,496,MNG,0.741,682.57,682.57,0.741,0.17049475139416095,0.5047846889952154,3
2016,516,NAM,0.631,345.38,345.38,0.631,0.0717348516800225,0.2416267942583732,4
2016,604,PER,0.764,396.83,396.83,0.764,0.08680409110080135,0.5598086124401915,3
2016,710,ZAF,0.711,134.21,134.21,0.711,0.009885069590889927,0.4330143540669855,0
2016,740,SUR,0.709,193.87,193.87,0.709,0.02735894371807489,0.4282296650717703,0
2016,752,SWE,0.939,218.04,218.04,0.939,0.03443811799990629,0.9784688995215312,6
2016,780,TTO,0.81,160.85,160.85,0.81,0.01768768452129903,0.6698564593301437,3
2017,36,AUS,0.937,2413.89,2413.89,0.937,0.6775827124045176,0.9736842105263162,5
2017,48,BHR,0.867,576.29,576.29,0.867,0.13936630113876003,0.80622009569378,1
2017,51,ARM,0.775,200.95,200.95,0.775,0.02943261165003046,0.5861244019138758,3
2017,68,BOL,0.707,206.46,206.46,0.707,0.031046440789165384,0.42344497607655507,0
2017,76,BRA,0.758,109.42,109.42,0.758,0.0026243029195370006,0.5454545454545456,3
2017,124,CAN,0.929,191.56,191.56,0.929,0.026682365621631763,0.9545454545454548,6
2017,152,CHL,0.854,1006.4,1006.4,0.854,0.26534162800506117,0.7751196172248804,1
2017,268,GEO,0.807,114.53,114.53,0.807,0.004120975678335446,0.6626794258373208,3
2017,328,GUY,0.699,187.95,187.95,0.699,0.025625029289095085,0.4043062200956937,0
2017,398,KAZ,0.802,113.62,113.62,0.802,0.003854444913069969,0.6507177033492826,3
2017,418,LAO,0.612,113.82,113.82,0.612,0.003913023103238201,0.19617224880382778,4
2017,478,MRT,0.536,193.18,193.18,0.536,0.027156848961994478,0.014354066985645897,4
2017,496,MNG,0.742,698.82,698.82,0.742,0.1752542293453302,0.507177033492823,3
2017,512,OMN,0.833,215.47,215.47,0.833,0.03368538825624444,0.7248803827751196,3
2017,516,NAM,0.634,250.55,250.55,0.634,0.043960002811753135,0.24880382775119614,4
2017,604,PER,0.765,530.41,530.41,0.765,0.12592846431416654,0.5622009569377993,3
2017,710,ZAF,0.725,195.58,195.58,0.725,0.027859787244013317,0.46650717703349276,0
2017,752,SWE,0.941,303.33,303.33,0.941,0.05941878719715077,0.9832535885167466,6
2017,807,MKD,0.789,106.19,106.19,0.789,0.0016782651483199795,0.6196172248803831,3
2018,36,AUS,0.941,2414.75,2414.75,0.941,0.677834598622241,0.9832535885167466,5
2018,48,BHR,0.88,659.33,659.33,0.88,0.16368796569661187,0.8373205741626795,1
2018,51,ARM,0.781,187.63,187.63,0.781,0.025531304184825906,0.6004784688995217,3
2018,68,BOL,0.712,204.46,204.46,0.712,0.030460658887483023,0.43540669856459324,0
2018,76,BRA,0.762,114.84,114.84,0.762,0.004211771873096213,0.5550239234449761,3
2018,100,BGR,0.811,103.08,103.08,0.811,0.0007673742912039025,0.6722488038277514,3
2018,124,CAN,0.93,212.3,212.3,0.93,0.032756923942077895,0.9569377990430625,6
2018,152,CHL,0.856,1087.17,1087.17,0.856,0.2889984301045035,0.7799043062200959,1
2018,246,FIN,0.936,104.94,104.94,0.936,0.001312151459768502,0.9712918660287084,6
2018,266,GAB,0.699,113.0,113.0,0.699,0.0036728525235484345,0.4043062200956937,0
2018,268,GEO,0.816,137.98,137.98,0.816,0.01098926847556118,0.6842105263157894,3
2018,328,GUY,0.704,163.3,163.3,0.704,0.018405267350859938,0.4162679425837321,0
2018,398,KAZ,0.804,110.8,110.8,0.804,0.0030284924316978344,0.6555023923444978,3
2018,418,LAO,0.613,106.71,106.71,0.613,0.0018305684427573944,0.1985645933014355,4
2018,478,MRT,0.546,169.28,169.28,0.546,0.020156755236890204,0.038277511961722466,4
2018,496,MNG,0.754,832.26,832.26,0.754,0.2143375978255776,0.535885167464115,3
2018,512,OMN,0.838,129.27,129.27,0.838,0.008438188293734484,0.7368421052631577,3
