year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2013,784,ARE,0.847,28.52,3
2014,784,ARE,0.853,28.77,3
2015,784,ARE,0.86,60.82,3
2016,784,ARE,0.866,57.69,3
2017,784,ARE,0.898,36.53,3
2018,784,ARE,0.917,36.81,3
2019,784,ARE,0.933,17.7,3
2020,784,ARE,0.93,14.36,3
2013,32,ARG,0.846,195.2,0
2014,32,ARG,0.847,121.73,0
2015,32,ARG,0.85,111.37,3
2016,32,ARG,0.848,158.9,0
2017,32,ARG,0.853,157.29,0
2018,32,ARG,0.852,168.81,0
2019,32,ARG,0.853,207.11,0
2020,32,ARG,0.841,198.49,0
2013,36,AUS,0.929,347.97,0
2014,36,AUS,0.931,316.4,0
2015,36,AUS,0.933,269.89,0
2016,36,AUS,0.936,210.73,0
2017,36,AUS,0.937,266.26,0
2018,36,AUS,0.941,192.84,0
2019,36,AUS,0.941,134.41,3
2020,36,AUS,0.948,146.27,3
2013,40,AUT,0.907,60.46,3
2014,40,AUT,0.911,63.27,3
2015,40,AUT,0.91,47.39,3
2016,40,AUT,0.913,47.65,3
2017,40,AUT,0.914,51.23,3
2018,40,AUT,0.917,48.99,3
2019,40,AUT,0.92,52.57,3
2020,40,AUT,0.916,59.27,3
2013,56,BEL,0.917,50.75,3
2014,56,BEL,0.922,51.65,3
2015,56,BEL,0.924,43.27,3
2016,56,BEL,0.927,40.45,3
2017,56,BEL,0.931,42.61,3
2018,56,BEL,0.933,52.38,3
2019,56,BEL,0.936,43.56,3
2020,56,BEL,0.93,50.03,3
2013,100,BGR,0.804,220.62,0
2014,100,BGR,0.807,174.11,0
2015,100,BGR,0.809,139.38,0
2016,100,BGR,0.81,165.47,0
2017,100,BGR,0.81,155.18,0
2018,100,BGR,0.811,182.75,0
2019,100,BGR,0.813,229.03,0
2020,100,BGR,0.802,203.83,0
2013,68,BOL,0.681,16.07,1
2014,68,BOL,0.683,18.91,1
2015,68,BOL,0.688,12.41,1
2013,76,BRA,0.75,35.61,1
2014,76,BRA,0.753,22.18,1
2015,76,BRA,0.752,28.39,1
2016,76,BRA,0.753,20.22,1
2017,76,BRA,0.758,24.33,1
2018,76,BRA,0.762,21.85,1
2019,76,BRA,0.764,37.52,1
2020,76,BRA,0.758,31.03,1
2013,124,CAN,0.923,230.11,0
2014,124,CAN,0.925,247.05,0
2015,124,CAN,0.927,205.45,0
2016,124,CAN,0.928,155.65,0
2017,124,CAN,0.929,171.75,0
2018,124,CAN,0.93,194.0,0
2019,124,CAN,0.932,178.85,0
2020,124,CAN,0.928,204.64,0
2013,152,CHL,0.837,22.04,3
2014,152,CHL,0.841,16.95,3
2013,203,CZE,0.884,63.62,3
2014,203,CZE,0.889,71.72,3
2015,203,CZE,0.891,64.01,3
2016,203,CZE,0.894,63.18,3
2017,203,CZE,0.896,63.53,3
2018,203,CZE,0.893,54.16,3
2019,203,CZE,0.896,48.18,3
2020,203,CZE,0.891,65.4,3
2013,276,DEU,0.938,53.63,3
2014,276,DEU,0.942,47.56,3
2015,276,DEU,0.941,41.69,3
2016,276,DEU,0.941,34.59,3
2017,276,DEU,0.944,29.16,3
2018,276,DEU,0.946,23.86,3
2019,276,DEU,0.951,23.49,3
2020,276,DEU,0.948,36.29,3
2013,208,DNK,0.933,90.56,3
2014,208,DNK,0.932,80.58,3
2015,208,DNK,0.936,85.38,3
2016,208,DNK,0.943,58.79,3
2017,208,DNK,0.944,71.67,3
2018,208,DNK,0.942,53.62,3
2019,208,DNK,0.946,50.5,3
2020,208,DNK,0.946,61.96,3
2013,724,ESP,0.88,12.83,3
