year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2013,96,BRN,0.835,26870.93,0
2013,112,BLR,0.806,1275.36,4
2013,124,CAN,0.923,3420.66,3
2013,178,COG,0.6,1629.37,1
2013,208,DNK,0.933,1866.8,3
2013,56,BEL,0.917,3797.34,3
2013,48,BHR,0.839,8121.1,0
2013,36,AUS,0.929,2820.01,3
2013,31,AZE,0.745,2360.66,4
2013,24,AGO,0.555,2541.71,1
2013,12,DZA,0.729,1689.54,4
2013,233,EST,0.881,1430.48,2
2013,246,FIN,0.926,1672.05,3
2013,266,GAB,0.678,4483.35,1
2013,300,GRC,0.874,1318.8,2
2013,368,IRQ,0.648,2538.39,1
2013,398,KAZ,0.789,3680.76,4
2013,410,KOR,0.902,1073.05,2
2013,414,KWT,0.813,30788.14,0
2013,440,LTU,0.858,2538.14,2
2013,458,MYS,0.782,1685.86,4
2013,470,MLT,0.874,5201.46,2
2013,512,OMN,0.814,10820.48,0
2013,528,NLD,0.929,6783.92,3
2013,579,NOR,0.945,20670.83,3
2013,643,RUS,0.816,2586.82,4
2013,682,SAU,0.831,11656.53,0
2013,690,SYC,0.786,4575.76,4
2013,702,SGP,0.93,13225.15,3
2013,752,SWE,0.932,1369.37,3
2013,780,TTO,0.801,8291.48,4
2013,784,ARE,0.847,17028.4,0
2013,862,VEN,0.771,2872.36,4
2014,12,DZA,0.732,1497.61,4
2014,24,AGO,0.565,2110.99,1
2014,31,AZE,0.749,2116.1,4
2014,36,AUS,0.931,2724.36,3
2014,48,BHR,0.839,11394.55,0
2014,56,BEL,0.922,3251.13,3
2014,96,BRN,0.834,23335.0,0
2014,112,BLR,0.81,1278.94,4
2014,124,CAN,0.925,3640.56,3
2014,208,DNK,0.932,1441.96,3
2014,233,EST,0.879,1478.64,2
2014,246,FIN,0.928,1466.01,3
2014,266,GAB,0.687,4033.12,1
2014,300,GRC,0.879,1262.15,2
2014,368,IRQ,0.651,2309.43,1
2014,398,KAZ,0.794,3407.03,4
2014,410,KOR,0.906,1037.92,2
2014,414,KWT,0.816,25785.54,0
2014,440,LTU,0.864,1938.57,2
2014,458,MYS,0.787,1685.26,4
2014,470,MLT,0.881,4935.68,2
2014,512,OMN,0.818,9632.86,0
2014,528,NLD,0.931,5773.61,3
2014,579,NOR,0.949,18262.96,3
2014,643,RUS,0.818,2398.83,4
2014,682,SAU,0.836,10067.37,0
2014,690,SYC,0.796,6243.45,4
2014,702,SGP,0.932,12558.12,3
2014,752,SWE,0.935,1372.65,3
2014,780,TTO,0.806,6012.89,4
2014,784,ARE,0.853,12780.04,0
2015,24,AGO,0.591,1132.72,1
2015,31,AZE,0.751,1159.37,4
2015,36,AUS,0.933,1994.22,3
2015,48,BHR,0.859,3772.65,2
2015,56,BEL,0.924,1976.7,3
2015,96,BRN,0.832,13989.83,0
2015,124,CAN,0.927,2173.01,3
2015,233,EST,0.883,1169.76,2
2015,266,GAB,0.692,2189.95,1
2015,368,IRQ,0.656,1312.48,1
2015,398,KAZ,0.799,1720.82,4
2015,414,KWT,0.829,12643.81,0
2015,440,LTU,0.865,1426.0,2
2015,458,MYS,0.792,1055.82,4
2015,470,MLT,0.887,3389.0,2
2015,512,OMN,0.824,5628.32,4
2015,528,NLD,0.932,3729.07,3
2015,579,NOR,0.952,11538.83,3
2015,634,QAT,0.852,27507.31,0
2015,643,RUS,0.823,1493.36,4
2015,682,SAU,0.842,5131.41,2
2015,690,SYC,0.797,1508.18,4
2015,702,SGP,0.935,7885.56,3
2015,780,TTO,0.812,3533.01,4
2015,784,ARE,0.86,7348.83,2
2016,31,AZE,0.752,1257.47,4
2016,36,AUS,0.936,2006.54,3
2016,48,BHR,0.862,2732.99,2
2016,56,BEL,0.927,1540.35,3
2016,96,BRN,0.83,10020.23,0
2016,124,CAN,0.928,1724.62,3
2016,266,GAB,0.696,1397.37,1
2016,368,IRQ,0.661,1137.73,1
2016,398,KAZ,0.797,1216.26,4
2016,414,KWT,0.832,10352.23,0
2016,434,LBY,0.746,2703.7,4
2016,440,LTU,0.87,1200.56,2
2016,470,MLT,0.887,2254.17,2
2016,512,OMN,0.832,5230.18,2
2016,528,NLD,0.933,3310.89,3
2016,579,NOR,0.956,9070.41,3
2016,634,QAT,0.853,18868.44,0
2016,643,RUS,0.826,1006.79,4
2016,682,SAU,0.846,4393.59,2
2016,690,SYC,0.798,1337.5,4
2016,702,SGP,0.937,6676.66,3
2016,780,TTO,0.81,1875.05,4
2016,784,ARE,0.866,5322.15,2
2017,24,AGO,0.597,1093.17,1
2017,31,AZE,0.754,1407.26,4
2017,36,AUS,0.937,2841.92,3
2017,48,BHR,0.867,3708.62,2
2017,56,BEL,0.931,1890.5,3
2017,96,BRN,0.829,11528.97,0
2017,124,CAN,0.929,2314.54,3
2017,233,EST,0.886,1163.96,2
2017,266,GAB,0.699,1666.76,1
2017,398,KAZ,0.802,1646.76,4
2017,414,KWT,0.835,11932.87,0
2017,434,LBY,0.761,2660.91,4
2017,440,LTU,0.878,1528.46,2
2017,458,MYS,0.8,1037.55,4
2017,470,MLT,0.896,3299.09,2
2017,512,OMN,0.833,4843.72,2
2017,528,NLD,0.936,4038.49,3
2017,579,NOR,0.959,11051.02,3
2017,634,QAT,0.862,22320.92,0
2017,643,RUS,0.827,1280.17,4
2017,682,SAU,0.849,5487.88,2
2017,690,SYC,0.798,1586.69,4
2017,702,SGP,0.938,8518.28,3
2017,780,TTO,0.811,3041.84,4
2017,784,ARE,0.898,6840.62,2
2018,24,AGO,0.598,1243.08,1
2018,31,AZE,0.757,1798.69,4
2018,36,AUS,0.941,3652.24,3
2018,48,BHR,0.88,4607.05,2
2018,56,BEL,0.933,2426.37,3
2018,96,BRN,0.826,13663.28,0
2018,124,CAN,0.93,2688.99,3
2018,178,COG,0.603,1672.66,1
2018,233,EST,0.89,1987.52,2
2018,246,FIN,0.936,1157.01,3
2018,266,GAB,0.699,2074.18,1
2018,300,GRC,0.886,1263.05,2
2018,398,KAZ,0.804,2260.45,4
2018,414,KWT,0.836,15124.58,0
2018,434,LBY,0.764,4184.23,4
2018,440,LTU,0.882,1728.25,2
2018,458,MYS,0.802,1184.71,4
2018,470,MLT,0.903,2478.34,2
2018,496,MNG,0.754,1000.69,4
2018,512,OMN,0.838,6299.13,2
2018,528,NLD,0.939,4721.75,3
2018,579,NOR,0.96,14389.63,3
2018,634,QAT,0.866,28336.14,0
2018,643,RUS,0.836,1636.89,2
2018,682,SAU,0.856,7683.07,2
2018,690,SYC,0.804,1671.5,4
2018,702,SGP,0.942,9581.46,3
2018,752,SWE,0.943,1212.7,3
2018,780,TTO,0.809,3673.18,4
2018,784,ARE,0.917,13052.73,3
2019,24,AGO,0.597,1031.26,1
2019,31,AZE,0.762,1775.71,4
2019,36,AUS,0.941,3461.43,3
2019,48,BHR,0.888,4024.82,2
2019,56,BEL,0.936,2003.27,3
2019,96,BRN,0.827,14484.66,0
2019,124,CAN,0.932,2622.91,3
2019,233,EST,0.893,1524.1,2
2019,246,FIN,0.939,1179.27,3
2019,266,GAB,0.702,1866.24,1
2019,300,GRC,0.89,1114.88,2
2019,398,KAZ,0.81,2002.28,4
2019,414,KWT,0.838,13211.52,0
2019,434,LBY,0.756,3977.45,4
2019,440,LTU,0.886,1550.27,2
2019,458,MYS,0.805,1037.74,4
2019,470,MLT,0.905,2371.38,2
2019,496,MNG,0.749,1066.54,4
2019,512,OMN,0.841,5831.73,2
2019,528,NLD,0.941,4367.12,3
2019,579,NOR,0.961,10890.99,3
2019,634,QAT,0.869,23724.86,0
2019,643,RUS,0.839,1526.26,2
2019,682,SAU,0.862,6652.52,2
2019,690,SYC,0.808,3145.14,4
2019,702,SGP,0.945,8393.78,3
2019,780,TTO,0.813,2171.94,4
2019,784,ARE,0.933,22549.74,3
2020,31,AZE,0.722,1187.08,4
2020,36,AUS,0.948,2053.71,3
2020,48,BHR,0.884,2341.3,2
2020,56,BEL,0.93,1284.18,3
2020,96,BRN,0.827,12039.49,0
2020,124,CAN,0.928,1809.08,3
2020,233,EST,0.891,1363.26,2
2020,266,GAB,0.704,1673.52,1
2020,328,GUY,0.727,2639.08,4
2020,398,KAZ,0.806,1405.45,4
2020,414,KWT,0.826,8146.67,0
2020,512,OMN,0.823,4083.32,4
2020,528,NLD,0.938,2909.24,3
2020,579,NOR,0.963,7586.19,3
2020,634,QAT,0.863,15080.78,0
2020,682,SAU,0.861,4183.5,2
2020,702,SGP,0.942,5317.07,3
2020,780,TTO,0.815,1462.05,4
2020,784,ARE,0.93,18402.22,3
