year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2013,178,Congo,0.6,1629.37,1
2013,24,Angola,0.555,2541.71,1
2013,266,Gabon,0.678,4483.35,1
2013,368,Iraq,0.648,2538.39,1
2014,24,Angola,0.565,2110.99,1
2014,266,Gabon,0.687,4033.12,1
2014,368,Iraq,0.651,2309.43,1
2015,24,Angola,0.591,1132.72,1
2015,266,Gabon,0.692,2189.95,1
2015,368,Iraq,0.656,1312.48,1
2016,266,Gabon,0.696,1397.37,1
2016,368,Iraq,0.661,1137.73,1
2017,24,Angola,0.597,1093.17,1
2017,266,Gabon,0.699,1666.76,1
2018,24,Angola,0.598,1243.08,1
2018,178,Congo,0.603,1672.66,1
2018,266,Gabon,0.699,2074.18,1
2019,24,Angola,0.597,1031.26,1
2019,266,Gabon,0.702,1866.24,1
2020,266,Gabon,0.704,1673.52,1
