year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2013,112,Belarus,0.806,1275.36,4
2013,31,Azerbaijan,0.745,2360.66,4
2013,12,Algeria,0.729,1689.54,4
2013,398,Kazakhstan,0.789,3680.76,4
2013,458,Malaysia,0.782,1685.86,4
2013,643,Russian Federation,0.816,2586.82,4
2013,690,Seychelles,0.786,4575.76,4
2013,780,Trinidad and Tobago,0.801,8291.48,4
2013,862,"Venezuela, Bolivarian Republic of",0.771,2872.36,4
2014,12,Algeria,0.732,1497.61,4
2014,31,Azerbaijan,0.749,2116.1,4
2014,112,Belarus,0.81,1278.94,4
2014,398,Kazakhstan,0.794,3407.03,4
2014,458,Malaysia,0.787,1685.26,4
2014,643,Russian Federation,0.818,2398.83,4
2014,690,Seychelles,0.796,6243.45,4
2014,780,Trinidad and Tobago,0.806,6012.89,4
2015,31,Azerbaijan,0.751,1159.37,4
2015,398,Kazakhstan,0.799,1720.82,4
2015,458,Malaysia,0.792,1055.82,4
2015,512,Oman,0.824,5628.32,4
2015,643,Russian Federation,0.823,1493.36,4
2015,690,Seychelles,0.797,1508.18,4
2015,780,Trinidad and Tobago,0.812,3533.01,4
2016,31,Azerbaijan,0.752,1257.47,4
2016,398,Kazakhstan,0.797,1216.26,4
2016,434,Libya,0.746,2703.7,4
2016,643,Russian Federation,0.826,1006.79,4
2016,690,Seychelles,0.798,1337.5,4
2016,780,Trinidad and Tobago,0.81,1875.05,4
2017,31,Azerbaijan,0.754,1407.26,4
2017,398,Kazakhstan,0.802,1646.76,4
2017,434,Libya,0.761,2660.91,4
2017,458,Malaysia,0.8,1037.55,4
2017,643,Russian Federation,0.827,1280.17,4
2017,690,Seychelles,0.798,1586.69,4
2017,780,Trinidad and Tobago,0.811,3041.84,4
2018,31,Azerbaijan,0.757,1798.69,4
2018,398,Kazakhstan,0.804,2260.45,4
2018,434,Libya,0.764,4184.23,4
2018,458,Malaysia,0.802,1184.71,4
2018,496,Mongolia,0.754,1000.69,4
2018,690,Seychelles,0.804,1671.5,4
2018,780,Trinidad and Tobago,0.809,3673.18,4
2019,31,Azerbaijan,0.762,1775.71,4
2019,398,Kazakhstan,0.81,2002.28,4
2019,434,Libya,0.756,3977.45,4
2019,458,Malaysia,0.805,1037.74,4
2019,496,Mongolia,0.749,1066.54,4
2019,690,Seychelles,0.808,3145.14,4
2019,780,Trinidad and Tobago,0.813,2171.94,4
2020,31,Azerbaijan,0.722,1187.08,4
2020,328,Guyana,0.727,2639.08,4
2020,398,Kazakhstan,0.806,1405.45,4
2020,512,Oman,0.823,4083.32,4
2020,780,Trinidad and Tobago,0.815,1462.05,4
